SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PlayerName,Team,Home,Away
22023,1630173,0022301019,"MAR 23, 2024",NYK vs. BKN,W,7,0,2,0.0,0,1,0.0,0,2,0.0,2,1,3,1,0,0,0,0,0,-9,1,Precious Achiuwa,NYK,NYK,BKN
22023,1630173,0022301009,"MAR 21, 2024",NYK @ DEN,L,25,4,5,0.8,1,1,1.0,0,0,0.0,0,5,5,3,0,2,0,2,9,-2,1,Precious Achiuwa,NYK,DEN,NYK
22023,1630173,0022300988,"MAR 18, 2024",NYK @ GSW,W,18,2,4,0.5,0,0,0.0,2,2,1.0,5,4,9,1,0,0,1,0,6,-14,1,Precious Achiuwa,NYK,GSW,NYK
22023,1630173,0022300975,"MAR 16, 2024",NYK @ SAC,W,20,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,4,0,1,1,3,2,2,1,Precious Achiuwa,NYK,SAC,NYK
22023,1630173,0022300960,"MAR 14, 2024",NYK @ POR,W,24,2,3,0.667,0,0,0.0,0,0,0.0,3,4,7,2,2,0,0,1,4,-5,1,Precious Achiuwa,NYK,POR,NYK
22023,1630173,0022300939,"MAR 12, 2024",NYK vs. PHI,W,24,6,8,0.75,0,1,0.0,1,2,0.5,3,5,8,1,0,2,4,5,13,13,1,Precious Achiuwa,NYK,NYK,PHI
22023,1630173,0022300927,"MAR 10, 2024",NYK vs. PHI,L,36,2,8,0.25,1,3,0.333,3,4,0.75,3,6,9,0,2,3,3,2,8,4,1,Precious Achiuwa,NYK,NYK,PHI
22023,1630173,0022300912,"MAR 08, 2024",NYK vs. ORL,W,39,6,16,0.375,2,4,0.5,1,2,0.5,3,11,14,4,2,5,3,2,15,25,1,Precious Achiuwa,NYK,NYK,ORL
22023,1630173,0022300889,"MAR 05, 2024",NYK vs. ATL,L,24,7,8,0.875,0,0,0.0,1,1,1.0,1,5,6,2,1,1,0,1,15,3,1,Precious Achiuwa,NYK,NYK,ATL
22023,1630173,0022300876,"MAR 03, 2024",NYK @ CLE,W,22,6,8,0.75,1,1,1.0,1,3,0.333,3,1,4,0,2,3,2,3,14,12,1,Precious Achiuwa,NYK,CLE,NYK
22023,1630173,0022300852,"FEB 29, 2024",NYK vs. GSW,L,26,1,3,0.333,0,1,0.0,1,4,0.25,4,4,8,1,0,2,2,2,3,-12,1,Precious Achiuwa,NYK,NYK,GSW
22023,1630173,0022300837,"FEB 27, 2024",NYK vs. NOP,L,40,4,10,0.4,0,3,0.0,7,8,0.875,3,4,7,2,0,1,1,3,15,-18,1,Precious Achiuwa,NYK,NYK,NOP
22023,1630173,0022300828,"FEB 26, 2024",NYK vs. DET,W,34,2,7,0.286,0,1,0.0,0,0,0.0,4,7,11,1,2,2,2,3,4,9,1,Precious Achiuwa,NYK,NYK,DET
