Player Name,Position,Team_x,Market,Selection,Bookie,Line Value,Cost,Home Team,Away Team,Odds,Probability
RJ Barrett,F,NYK,Rebounds,Over,SugarHouse,4.5,2.17,Orlando Magic,New York Knicks,117,0.4608294930875576
RJ Barrett,F,NYK,Rebounds,Over,BetRivers,4.5,2.17,Orlando Magic,New York Knicks,117,0.4608294930875576
RJ Barrett,F,NYK,Rebounds,Over,UniBet,4.5,2.17,Orlando Magic,New York Knicks,117,0.4608294930875576
RJ Barrett,F,NYK,Rebounds,Under,PointsBet,4.5,1.71,Orlando Magic,New York Knicks,-141,0.5850622406639004
Franz Wagner,G,ORL,Rebounds,Over,DraftKings,5.5,2.05,Orlando Magic,New York Knicks,105,0.4878048780487805
Franz Wagner,G,ORL,Rebounds,Over,BetMGM,5.5,2.05,Orlando Magic,New York Knicks,105,0.4878048780487805
Franz Wagner,G,ORL,Rebounds,Over,PartyCasino,5.5,2.05,Orlando Magic,New York Knicks,105,0.4878048780487805
Franz Wagner,G,ORL,Rebounds,Over,bet365,5.5,2.05,Orlando Magic,New York Knicks,105,0.4878048780487805
Franz Wagner,G,ORL,Rebounds,Under,FanDuel,5.5,1.85,Orlando Magic,New York Knicks,-118,0.5412844036697247
Isaiah Hartenstein,C,NYK,Points,Over,DraftKings,7.5,1.95,Orlando Magic,New York Knicks,-105,0.5121951219512195
Isaiah Hartenstein,C,NYK,Points,Over,PointsBet,7.5,1.95,Orlando Magic,New York Knicks,-105,0.5121951219512195
Isaiah Hartenstein,C,NYK,Points,Under,FanDuel,7.5,1.88,Orlando Magic,New York Knicks,-114,0.5327102803738317
Isaiah Hartenstein,C,NYK,Rebounds,Over,Caesars,9.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Franz Wagner,G,ORL,Assists,Over,SugarHouse,4.5,1.8,Orlando Magic,New York Knicks,-125,0.5555555555555556
Franz Wagner,G,ORL,Assists,Over,BetRivers,4.5,1.8,Orlando Magic,New York Knicks,-125,0.5555555555555556
Franz Wagner,G,ORL,Assists,Over,UniBet,4.5,1.8,Orlando Magic,New York Knicks,-125,0.5555555555555556
Donte DiVincenzo,G,NYK,Rebounds,Over,Caesars,2.5,1.92,Orlando Magic,New York Knicks,-109,0.5215311004784688
Donte DiVincenzo,G,NYK,Rebounds,Under,PointsBet,2.5,2.05,Orlando Magic,New York Knicks,105,0.4878048780487805
Jalen Suggs,G,ORL,Rebounds,Over,FanDuel,3.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Jalen Suggs,G,ORL,Rebounds,Over,SugarHouse,3.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Jalen Suggs,G,ORL,Rebounds,Over,BetRivers,3.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Jalen Suggs,G,ORL,Rebounds,Over,UniBet,3.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Jalen Suggs,G,ORL,Rebounds,Under,PointsBet,3.5,1.87,Orlando Magic,New York Knicks,-115,0.5348837209302325
Jalen Suggs,G,ORL,Points,Over,DraftKings,12.5,1.91,Orlando Magic,New York Knicks,-110,0.5238095238095238
Jalen Suggs,G,ORL,Points,Under,Caesars,12.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Julius Randle,F,NYK,Points,Over,FanDuel,24.5,1.96,Orlando Magic,New York Knicks,-104,0.5098039215686274
Julius Randle,F,NYK,Points,Under,PointsBet,25.5,1.87,Orlando Magic,New York Knicks,-115,0.5348837209302325
Jalen Brunson,G,NYK,Assists,Over,FanDuel,5.5,1.69,Orlando Magic,New York Knicks,-145,0.5918367346938775
Jalen Brunson,G,NYK,Assists,Under,SugarHouse,6.5,1.68,Orlando Magic,New York Knicks,-147,0.5951417004048583
Jalen Brunson,G,NYK,Assists,Under,BetRivers,6.5,1.68,Orlando Magic,New York Knicks,-147,0.5951417004048583
Jalen Brunson,G,NYK,Assists,Under,UniBet,6.5,1.68,Orlando Magic,New York Knicks,-147,0.5951417004048583
