Player Name,Position,Team,Market,Selection,Bookie,Line Value,Cost,Home Team,Away Team
RJ Barrett,F,NYK,Rebounds,Over,SugarHouse,4.5,2.17,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Rebounds,Over,BetRivers,4.5,2.17,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Rebounds,Over,UniBet,4.5,2.17,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Rebounds,Under,PointsBet,4.5,1.71,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Assists,Over,Caesars,1.5,1.57,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Assists,Under,bet365,1.5,2.45,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Rebounds,Over,DraftKings,5.5,2.05,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Rebounds,Over,BetMGM,5.5,2.05,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Rebounds,Over,PartyCasino,5.5,2.05,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Rebounds,Over,bet365,5.5,2.05,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Rebounds,Under,FanDuel,5.5,1.85,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Points,Over,DraftKings,7.5,1.95,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Points,Over,PointsBet,7.5,1.95,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Points,Under,FanDuel,7.5,1.88,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Assists,Over,bet365,2.5,2.55,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Assists,Under,DraftKings,2.5,1.53,Orlando Magic,New York Knicks
RJ Barrett,F,NYK,Assists,Under,bet365,2.5,1.53,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Rebounds,Over,Caesars,9.5,1.96,Orlando Magic,New York Knicks
Isaiah Hartenstein,C,NYK,Rebounds,Under,FanDuel,9.5,1.95,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Assists,Over,SugarHouse,4.5,1.8,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Assists,Over,BetRivers,4.5,1.8,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Assists,Over,UniBet,4.5,1.8,Orlando Magic,New York Knicks
Franz Wagner,G,ORL,Assists,Under,DraftKings,4.5,2.14,Orlando Magic,New York Knicks
Jalen Suggs,G,ORL,Assists,Over,PointsBet,2.5,1.87,Orlando Magic,New York Knicks
Jalen Suggs,G,ORL,Assists,Under,bet365,2.5,2.0,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Over,BetMGM,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Over,Caesars,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Over,PartyCasino,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Over,bet365,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Under,BetMGM,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Under,PartyCasino,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Assists,Under,bet365,1.5,1.87,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Rebounds,Over,Caesars,2.5,1.92,Orlando Magic,New York Knicks
Donte DiVincenzo,G,NYK,Rebounds,Under,PointsBet,2.5,2.05,Orlando Magic,New York Knicks
Jalen Suggs,G,ORL,Rebounds,Over,FanDuel,3.5,1.96,Orlando Magic,New York Knicks
Jalen Suggs,G,ORL,Rebounds,Over,SugarHouse,3.5,1.96,Orlando Magic,New York Knicks
