PlayerName,POS,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,Rebounds,Assists,STL,BLK,TOV,PF,Points,PLUS_MINUS,VIDEO_AVAILABLE,Team,Home,Away,PTS_Team_Total,Value,Prop,Pts+Rebs+Asts,Pts+Rebs,Pts+Asts,Rebs+Asts
Joel Embiid,C,22023,203954,22300483,"JAN 05, 2024",PHI vs. NYK,L,36,10,23,0.435,1,1,1.0,9,12,0.75,3,7,10,3,1,3,6,3,30,-29,1,PHI,PHI,NYK,92,,,43,40,33,13
Joel Embiid,C,22023,203954,22300459,"JAN 02, 2024",PHI vs. CHI,W,31,10,20,0.5,2,5,0.4,9,12,0.75,0,15,15,10,1,2,4,4,31,32,1,PHI,PHI,CHI,110,,,56,46,41,25
Joel Embiid,C,22023,203954,22300367,"DEC 20, 2023",PHI vs. MIN,W,36,17,25,0.68,0,1,0.0,17,18,0.944,2,10,12,3,2,1,2,5,51,3,1,PHI,PHI,MIN,127,,,66,63,54,15
Joel Embiid,C,22023,203954,22300335,"DEC 16, 2023",PHI @ CHA,W,30,18,23,0.783,0,1,0.0,6,6,1.0,0,15,15,3,1,2,4,2,42,36,1,PHI,CHA,PHI,135,,,60,57,45,18
Joel Embiid,C,22023,203954,22300327,"DEC 15, 2023",PHI vs. DET,W,29,9,19,0.474,2,3,0.667,15,16,0.938,0,13,13,2,2,4,4,2,35,28,1,PHI,PHI,DET,124,,,50,48,37,15
Joel Embiid,C,22023,203954,22300310,"DEC 13, 2023",PHI @ DET,W,31,14,24,0.583,1,3,0.333,12,12,1.0,4,7,11,5,2,0,2,1,41,27,1,PHI,DET,PHI,129,,,57,52,46,16
Joel Embiid,C,22023,203954,22300295,"DEC 11, 2023",PHI vs. WAS,W,30,14,20,0.7,2,5,0.4,4,4,1.0,0,11,11,6,2,1,7,4,34,30,1,PHI,PHI,WAS,146,,,51,45,40,17
Joel Embiid,C,22023,203954,22301218,"DEC 08, 2023",PHI vs. ATL,W,36,12,24,0.5,1,3,0.333,13,15,0.867,4,10,14,3,1,4,2,1,38,16,1,PHI,PHI,ATL,125,,,55,52,41,17
Joel Embiid,C,22023,203954,22300255,"NOV 27, 2023",PHI vs. LAL,W,31,9,15,0.6,2,3,0.667,10,12,0.833,4,7,11,11,1,1,3,2,30,11,1,PHI,PHI,LAL,138,,,52,41,41,22
Joel Embiid,C,22023,203954,22300208,"NOV 19, 2023",PHI @ BKN,W,31,11,24,0.458,1,2,0.5,9,10,0.9,2,10,12,9,0,1,1,3,32,25,1,PHI,BKN,PHI,121,,,53,44,41,21
Joel Embiid,C,22023,203954,22300148,"NOV 06, 2023",PHI vs. WAS,W,31,17,25,0.68,0,2,0.0,14,14,1.0,2,9,11,6,1,1,1,2,48,15,1,PHI,PHI,WAS,146,,,65,59,54,17
Joel Embiid,C,22023,203954,22300132,"NOV 04, 2023",PHI vs. PHX,W,31,9,18,0.5,3,3,1.0,5,5,1.0,3,8,11,3,0,1,4,2,26,4,1,PHI,PHI,PHX,112,,,40,37,29,14
Joel Embiid,C,22023,203954,22300128,"NOV 02, 2023",PHI vs. TOR,W,35,8,22,0.364,0,2,0.0,12,13,0.923,5,8,13,7,0,1,4,2,28,22,1,PHI,PHI,TOR,114,,,48,41,35,20
Joel Embiid,C,22023,203954,22300098,"OCT 29, 2023",PHI vs. POR,W,29,12,22,0.545,2,4,0.5,9,12,0.75,5,10,15,7,2,6,3,3,35,28,1,PHI,PHI,POR,126,,,57,50,42,22
