Rank,Player,Team,Pos,Value
1,Fred VanVleet,Houston Rockets,PG,37.24
2,Tyrese Maxey,Philadelphia 76ers,PG,37.22
3,Kevin Durant,Phoenix Suns,SF,37.01
4,Luka Doncic,Dallas Mavericks,SF,36.83
5,DeMar DeRozan,Chicago Bulls,SG,36.77
6,Jayson Tatum,Boston Celtics,SF,36.45
7,Trae Young,Atlanta Hawks,PG,36.43
8,Anthony Davis,Los Angeles Lakers,PF,36.19
9,Jalen Brunson,New York Knicks,PG,35.85
10,Devin Booker,Phoenix Suns,SG,35.83
11,Donovan Mitchell,Cleveland Cavaliers,SG,35.70
12,Julius Randle,New York Knicks,PF,35.62
13,De'Aaron Fox,Sacramento Kings,PG,35.45
14,Damian Lillard,Milwaukee Bucks,PG,35.44
15,Coby White,Chicago Bulls,SG,35.22
16,Giannis Antetokounmpo,Milwaukee Bucks,SF,35.22
17,Domantas Sabonis,Sacramento Kings,PF,34.98
18,Paolo Banchero,Orlando Magic,PF,34.97
19,Scottie Barnes,Toronto Raptors,SF,34.97
20,Pascal Siakam,Toronto Raptors,PF,34.89
21,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,34.83
22,Anthony Edwards,Minnesota Timberwolves,SG,34.79
23,Desmond Bane,Memphis Grizzlies,SG,34.72
24,Dejounte Murray,Atlanta Hawks,PG,34.64
25,LeBron James,Los Angeles Lakers,SF,34.57
26,Max Strus,Cleveland Cavaliers,PG,34.53
27,Paul George,Los Angeles Clippers,SF,34.49
28,Cade Cunningham,Detroit Pistons,PG,34.47
29,Kawhi Leonard,Los Angeles Clippers,SF,34.47
30,Mikal Bridges,Brooklyn Nets,SG,34.42
31,Jrue Holiday,Boston Celtics,PG,34.36
32,Bam Adebayo,Miami Heat,C,34.27
33,Jerami Grant,Portland Trail Blazers,SF,34.21
34,Joel Embiid,Philadelphia 76ers,C,34.14
35,James Harden,Los Angeles Clippers,SG,33.92
36,Jaylen Brown,Boston Celtics,SG,33.86
37,Shaedon Sharpe,Portland Trail Blazers,SG,33.86
38,Tobias Harris,Philadelphia 76ers,SF,33.70
39,Nikola Vucevic,Chicago Bulls,C,33.62
40,O.G. Anunoby,New York Knicks,SF,33.49
41,Brandon Ingram,New Orleans Pelicans,SF,33.45
42,Tyrese Haliburton,Indiana Pacers,PG,33.43
43,Stephen Curry,Golden State Warriors,PG,33.39
44,Grayson Allen,Phoenix Suns,SG,33.39
45,Nikola Jokic,Denver Nuggets,C,33.39
46,Franz Wagner,Orlando Magic,SF,33.38
47,Keegan Murray,Sacramento Kings,SF,32.90
48,Karl-Anthony Towns,Minnesota Timberwolves,C,32.67
49,Lauri Markkanen,Utah Jazz,PF,32.60
50,Rudy Gobert,Minnesota Timberwolves,C,32.51
51,Saddiq Bey,Atlanta Hawks,SF,32.43
52,Keldon Johnson,San Antonio Spurs,SF,32.41
53,Kentavious Caldwell-Pope,Denver Nuggets,SG,32.23
54,Derrick White,Boston Celtics,PG,32.11
55,Jalen Williams,Oklahoma City Thunder,SG,32.04
56,Alperen Sengun,Houston Rockets,C,32.01
57,Dennis Schroder,Toronto Raptors,PG,31.92
58,Gordon Hayward,Charlotte Hornets,SF,31.92
59,Deandre Ayton,Portland Trail Blazers,C,31.67
60,Aaron Gordon,Denver Nuggets,PF,31.63
61,Jaren Jackson Jr.,Memphis Grizzlies,PF,31.61
62,Spencer Dinwiddie,Brooklyn Nets,PG,31.37
63,Brook Lopez,Milwaukee Bucks,C,31.29
64,Eric Gordon,Phoenix Suns,SG,31.23
65,Michael Porter Jr.,Denver Nuggets,PF,31.12
66,Kyle Kuzma,Washington Wizards,PF,31.04
67,Brandon Miller,Charlotte Hornets,SF,31.00
68,Dillon Brooks,Houston Rockets,SG,30.93
69,Jabari Smith Jr.,Houston Rockets,PF,30.82
70,Isaiah Stewart,Detroit Pistons,PF,30.69
71,Devin Vassell,San Antonio Spurs,SG,30.68
72,Taurean Prince,Los Angeles Lakers,SF,30.62
73,Jaime Jaquez Jr.,Miami Heat,SG,30.37
74,Klay Thompson,Golden State Warriors,SG,30.28
75,De'Andre Hunter,Atlanta Hawks,PF,30.27
76,Zion Williamson,New Orleans Pelicans,PF,30.23
77,Jalen Green,Houston Rockets,SG,30.15
78,Chet Holmgren,Oklahoma City Thunder,C,30.02
79,Jarrett Allen,Cleveland Cavaliers,C,30.00
80,Kristaps Porzingis,Boston Celtics,PF,30.00
81,Harrison Barnes,Sacramento Kings,SF,29.91
82,Austin Reaves,Los Angeles Lakers,PG,29.88
83,Jordan Clarkson,Utah Jazz,PG,29.88
84,RJ Barrett,Toronto Raptors,SF,29.73
85,Bruce Brown,Indiana Pacers,PG,29.62
86,Herbert Jones,New Orleans Pelicans,PF,29.44
87,De'Anthony Melton,Philadelphia 76ers,PG,29.43
88,Mike Conley,Minnesota Timberwolves,PG,29.29
89,Cameron Johnson,Brooklyn Nets,PF,29.22
90,D'Angelo Russell,Los Angeles Lakers,PG,29.22
91,Victor Wembanyama,San Antonio Spurs,PF,29.15
92,Jeremy Sochan,San Antonio Spurs,PF,29.14
93,Duncan Robinson,Miami Heat,SF,29.12
94,Malik Beasley,Milwaukee Bucks,SG,29.04
95,Jordan Poole,Washington Wizards,SG,28.98
96,Caris LeVert,Cleveland Cavaliers,SG,28.84
97,Tim Hardaway Jr.,Dallas Mavericks,SG,28.81
98,Dorian Finney-Smith,Brooklyn Nets,SF,28.78
99,Luguentz Dort,Oklahoma City Thunder,SG,28.75
100,P.J. Washington,Charlotte Hornets,PF,28.64
