Player,Team,Pos,Injury,Status,Est. Return
Steven Adams,MEM,C,Knee,Out For Season,Subscribers Only
Lonzo Ball,CHI,G,Knee,Out For Season,Subscribers Only
LaMelo Ball,CHA,G,Ankle,Out,Subscribers Only
Mo Bamba,PHI,C,Knee,Out,Subscribers Only
Desmond Bane,MEM,G,Ankle,Out,Subscribers Only
Charles Bassey,SAS,C,Knee,Out For Season,Subscribers Only
Bradley Beal,PHX,G,Nose,Game Time Decision,Subscribers Only
Bol Bol,PHX,F,Foot,Out,Subscribers Only
Malcolm Brogdon,POR,G,Knee,Game Time Decision,Subscribers Only
Moses Brown,POR,C,Wrist,Out,Subscribers Only
Vlatko Cancar,DEN,F,Knee,Out,Subscribers Only
Malcolm Cazalon,DET,G,Ankle,Game Time Decision,Subscribers Only
Sidy Cissoko,SAS,G,Ankle,Game Time Decision,Subscribers Only
Jaylen Clark,MIN,G,Achilles,Out,Subscribers Only
Brandon Clarke,MEM,F,Achilles,Out,Subscribers Only
Zach Collins,SAS,C,Ankle,Out,Subscribers Only
Mike Conley,MIN,G,Hamstring,Out,Subscribers Only
Robert Covington,PHI,F,Knee,Out,Subscribers Only
Torrey Craig,CHI,F,Heel,Out,Subscribers Only
Anthony Davis,LAL,C,Achilles,Game Time Decision,Subscribers Only
Johnny Davis,WAS,G,Ankle,Game Time Decision,Subscribers Only
Moussa Diabate,LAC,F,Hand,Out,Subscribers Only
Tari Eason,HOU,F,Lower Leg,Out,Subscribers Only
Joel Embiid,PHI,C,Knee,Out,Subscribers Only
Bruno Fernando,ATL,C,Back,Out,Subscribers Only
Darius Garland,CLE,G,Jaw,Game Time Decision,Subscribers Only
Jerami Grant,POR,F,Back,Game Time Decision,Subscribers Only
Mouhamed Gueye,ATL,C,Back,Out,Subscribers Only
Tyrese Haliburton,IND,G,Hamstring,Out,Subscribers Only
Gary Harris,ORL,G,Calf,Out,Subscribers Only
Tobias Harris,PHI,F,Illness,Out,Subscribers Only
Gordon Hayward,CHA,F,Calf,Out,Subscribers Only
Scoot Henderson,POR,G,Quadriceps,Game Time Decision,Subscribers Only
Malcolm Hill,NOP,F,Undisclosed,Game Time Decision,Subscribers Only
