"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","29.9","34","34","39","14.3","403","0.883","642","0.562","112","0.366","0.56","0.645","35.3","11.3","5.7","1.1","1.8","3.7","46.6","41","52.3","15.5","126.1","104.7"
"","Luka Doncic","Dal","G","24.9","40","37.5","36.4","14.1","378","0.78","547","0.574","413","0.375","0.569","0.616","34.7","8.6","9.6","1.4","0.6","3.9","43.3","44.3","52.9","15.1","122.4","113.7"
"","Shai Gilgeous-Alexander","Okc","G","25.6","47","34.4","33.2","9.8","435","0.892","782","0.586","161","0.348","0.575","0.649","31.3","5.6","6.4","2.2","0.8","2.2","37","37.7","43.3","12.1","131.5","107.6"
"","Giannis Antetokounmpo","Mil","F","29.2","46","35.2","33.1","16","516","0.661","794","0.642","79","0.253","0.619","0.646","30.9","11.6","6.1","1.4","1.1","3.6","42.5","37","48.6","14.7","124.7","107.5"
"","Kevin Durant","Pho","F","35.3","41","37.3","29.2","14.1","274","0.876","575","0.563","205","0.449","0.592","0.646","28.4","6.4","5.8","0.8","1.3","3.1","34.8","34.1","40.5","10.9","123.5","113.9"
"","Devin Booker","Pho","G","27.3","39","36.2","30.7","12.1","270","0.878","541","0.551","232","0.388","0.56","0.618","28.3","4.9","7.3","0.9","0.4","2.7","33.2","35.6","40.5","11.1","125","111.4"
"","Donovan Mitchell","Cle","G","27.4","36","35.6","32.4","11.7","221","0.864","434","0.553","330","0.348","0.54","0.59","28.2","5.5","6.4","1.9","0.5","2.8","33.7","34.6","40.1","11.2","119.3","107.7"
"","Stephen Curry","Gol","G","35.9","41","33.5","31.2","13.6","226","0.929","319","0.524","477","0.409","0.577","0.63","27.5","4.3","5","0.8","0.4","3","31.8","32.5","36.8","10","121.2","116.6"
"","De'Aaron Fox","Sac","G","26.1","40","35.6","31.2","10.7","272","0.724","509","0.521","316","0.38","0.539","0.575","27.2","4.1","5.5","1.6","0.4","2.5","31.3","32.7","36.8","9.5","115.5","112.7"
"","Trae Young","Atl","G","25.4","42","36.3","31.1","17.8","343","0.863","457","0.468","372","0.368","0.506","0.579","27","2.9","10.9","1.4","0.2","4.3","29.9","37.9","40.8","10.5","118.7","119.7"
"","Jayson Tatum","Bos","F","25.9","45","35.8","30","11.9","320","0.813","495","0.556","369","0.363","0.551","0.603","26.9","8.4","4.5","1","0.6","2.6","35.4","31.4","39.8","11.2","119.5","107.2"
"","Jalen Brunson","Nyk","G","27.4","46","35.7","29.4","10.4","280","0.836","603","0.509","303","0.422","0.551","0.599","26.8","3.8","6.5","0.9","0.2","2.3","30.6","33.3","37.2","9.8","125.3","111.1"
