PlayerName,opp,Prop,Over_Under,draftkings
Al Horford,DAL,Assists,Over,(1.5) -125
Al Horford,DAL,Assists,Under,(1.5) -105
Al Horford,DAL,Points,Over,(6.5) -110
Al Horford,DAL,Points,Under,(6.5) -120
Al Horford,DAL,Pts+Asts,Over,(8.5) -105
Al Horford,DAL,Pts+Asts,Under,(8.5) -125
Al Horford,DAL,Pts+Rebs,Over,(11.5) -120
Al Horford,DAL,Pts+Rebs,Under,(11.5) -110
Al Horford,DAL,Pts+Rebs+Asts,Over,(13.5) -115
Al Horford,DAL,Pts+Rebs+Asts,Under,(13.5) -115
Al Horford,DAL,Rebounds,Over,(4.5) -160
Al Horford,DAL,Rebounds,Under,(4.5) 124
Al Horford,DAL,Rebs+Asts,Over,(6.5) -140
Al Horford,DAL,Rebs+Asts,Under,(6.5) 110
Daniel Gafford,@BOS,Assists,Over,(0.5) -150
Daniel Gafford,@BOS,Assists,Under,(0.5) 120
Daniel Gafford,@BOS,Points,Over,(7.5) -145
Daniel Gafford,@BOS,Points,Under,(7.5) 114
Daniel Gafford,@BOS,Pts+Asts,Over,(8.5) -125
Daniel Gafford,@BOS,Pts+Asts,Under,(8.5) -105
Daniel Gafford,@BOS,Pts+Rebs,Over,(13.5) -120
Daniel Gafford,@BOS,Pts+Rebs,Under,(13.5) -110
Daniel Gafford,@BOS,Pts+Rebs+Asts,Over,(14.5) -115
Daniel Gafford,@BOS,Pts+Rebs+Asts,Under,(14.5) -115
Daniel Gafford,@BOS,Rebounds,Over,(5.5) -125
Daniel Gafford,@BOS,Rebounds,Under,(5.5) -105
Daniel Gafford,@BOS,Rebs+Asts,Over,(6.5) -110
Daniel Gafford,@BOS,Rebs+Asts,Under,(6.5) -120
Dereck Lively,@BOS,Assists,Over,(1.5) 114
Dereck Lively,@BOS,Assists,Under,(1.5) -145
Dereck Lively,@BOS,Points,Over,(8.5) 105
Dereck Lively,@BOS,Points,Under,(8.5) -135
Dereck Lively,@BOS,Pts+Asts,Over,(9.5) -115
Dereck Lively,@BOS,Pts+Asts,Under,(9.5) -115
Dereck Lively,@BOS,Pts+Rebs,Over,(15.5) -115
Dereck Lively,@BOS,Pts+Rebs,Under,(15.5) -115
Dereck Lively,@BOS,Pts+Rebs+Asts,Over,(16.5) -120
Dereck Lively,@BOS,Pts+Rebs+Asts,Under,(16.5) -105
Dereck Lively,@BOS,Rebounds,Over,(7.5) 114
Dereck Lively,@BOS,Rebounds,Under,(7.5) -145
Dereck Lively,@BOS,Rebs+Asts,Over,(8.5) -110
Dereck Lively,@BOS,Rebs+Asts,Under,(8.5) -120
Derrick Jones,@BOS,Assists,Over,(1.5) 130
Derrick Jones,@BOS,Assists,Under,(1.5) -166
Derrick Jones,@BOS,Points,Over,(8.5) -110
Derrick Jones,@BOS,Points,Under,(8.5) -120
Derrick Jones,@BOS,Pts+Asts,Over,(9.5) -115
Derrick Jones,@BOS,Pts+Asts,Under,(9.5) -115
Derrick Jones,@BOS,Pts+Rebs,Over,(11.5) -115
Derrick Jones,@BOS,Pts+Rebs,Under,(11.5) -115
Derrick Jones,@BOS,Pts+Rebs+Asts,Over,(12.5) -135
Derrick Jones,@BOS,Pts+Rebs+Asts,Under,(12.5) 105
Derrick Jones,@BOS,Rebounds,Over,(3.5) 105
Derrick Jones,@BOS,Rebounds,Under,(3.5) -135
Derrick Jones,@BOS,Rebs+Asts,Over,(4.5) -135
Derrick Jones,@BOS,Rebs+Asts,Under,(4.5) 105
Derrick White,DAL,Assists,Over,(4.5) -130
Derrick White,DAL,Assists,Under,(4.5) 100
Derrick White,DAL,Points,Over,(14.5) -115
Derrick White,DAL,Points,Under,(14.5) -115
Derrick White,DAL,Pts+Asts,Over,(19.5) -110
Derrick White,DAL,Pts+Asts,Under,(19.5) -120
Derrick White,DAL,Pts+Rebs,Over,(18.5) -115
Derrick White,DAL,Pts+Rebs,Under,(18.5) -115
Derrick White,DAL,Pts+Rebs+Asts,Over,(23.5) -110
Derrick White,DAL,Pts+Rebs+Asts,Under,(23.5) -120
Derrick White,DAL,Rebounds,Over,(3.5) -140
Derrick White,DAL,Rebounds,Under,(3.5) 110
Derrick White,DAL,Rebs+Asts,Over,(8.5) -120
Derrick White,DAL,Rebs+Asts,Under,(8.5) -110
Jaden Hardy,@BOS,Assists,Over,(0.5) -166
Jaden Hardy,@BOS,Assists,Under,(0.5) 130
Jaden Hardy,@BOS,Points,Over,(4.5) 100
Jaden Hardy,@BOS,Points,Under,(4.5) -130
Jaden Hardy,@BOS,Pts+Asts,Over,
Jaden Hardy,@BOS,Pts+Asts,Under,
Jaden Hardy,@BOS,Pts+Rebs,Over,
Jaden Hardy,@BOS,Pts+Rebs,Under,
Jaden Hardy,@BOS,Pts+Rebs+Asts,Over,(6.5) 100
Jaden Hardy,@BOS,Pts+Rebs+Asts,Under,(6.5) -130
Jaden Hardy,@BOS,Rebounds,Over,(0.5) -215
Jaden Hardy,@BOS,Rebounds,Under,(0.5) 165
Jaden Hardy,@BOS,Rebs+Asts,Over,
Jaden Hardy,@BOS,Rebs+Asts,Under,
Jaylen Brown,DAL,Assists,Over,(2.5) -150
Jaylen Brown,DAL,Assists,Under,(2.5) 120
Jaylen Brown,DAL,Points,Over,(23.5) -110
Jaylen Brown,DAL,Points,Under,(23.5) -120
Jaylen Brown,DAL,Pts+Asts,Over,(26.5) -110
Jaylen Brown,DAL,Pts+Asts,Under,(26.5) -120
Jaylen Brown,DAL,Pts+Rebs,Over,(29.5) -120
Jaylen Brown,DAL,Pts+Rebs,Under,(29.5) -110
Jaylen Brown,DAL,Pts+Rebs+Asts,Over,(32.5) -115
Jaylen Brown,DAL,Pts+Rebs+Asts,Under,(32.5) -115
Jaylen Brown,DAL,Rebounds,Over,(6.5) 120
Jaylen Brown,DAL,Rebounds,Under,(6.5) -150
Jaylen Brown,DAL,Rebs+Asts,Over,(9.5) 114
Jaylen Brown,DAL,Rebs+Asts,Under,(9.5) -145
Jayson Tatum,DAL,Assists,Over,(5.5) -115
Jayson Tatum,DAL,Assists,Under,(5.5) -115
Jayson Tatum,DAL,Points,Over,(28.5) -105
Jayson Tatum,DAL,Points,Under,(28.5) -125
Jayson Tatum,DAL,Pts+Asts,Over,(33.5) -120
Jayson Tatum,DAL,Pts+Asts,Under,(33.5) -110
Jayson Tatum,DAL,Pts+Rebs,Over,(38.5) -105
Jayson Tatum,DAL,Pts+Rebs,Under,(38.5) -125
Jayson Tatum,DAL,Pts+Rebs+Asts,Over,(43.5) -120
Jayson Tatum,DAL,Pts+Rebs+Asts,Under,(43.5) -110
Jayson Tatum,DAL,Rebounds,Over,(9.5) -135
Jayson Tatum,DAL,Rebounds,Under,(9.5) 105
Jayson Tatum,DAL,Rebs+Asts,Over,(15.5) -110
Jayson Tatum,DAL,Rebs+Asts,Under,(15.5) -120
Josh Green,@BOS,Assists,Over,(0.5) -210
Josh Green,@BOS,Assists,Under,(0.5) 160
Josh Green,@BOS,Points,Over,(3.5) 105
Josh Green,@BOS,Points,Under,(3.5) -135
Josh Green,@BOS,Pts+Asts,Over,
Josh Green,@BOS,Pts+Asts,Under,
Josh Green,@BOS,Pts+Rebs,Over,
Josh Green,@BOS,Pts+Rebs,Under,
Josh Green,@BOS,Pts+Rebs+Asts,Over,(6.5) -115
Josh Green,@BOS,Pts+Rebs+Asts,Under,(6.5) -115
Josh Green,@BOS,Rebounds,Over,(1.5) -160
Josh Green,@BOS,Rebounds,Under,(1.5) 124
Josh Green,@BOS,Rebs+Asts,Over,
Josh Green,@BOS,Rebs+Asts,Under,
Jrue Holiday,DAL,Assists,Over,(4.5) -130
Jrue Holiday,DAL,Assists,Under,(4.5) 100
Jrue Holiday,DAL,Points,Over,(12.5) -115
Jrue Holiday,DAL,Points,Under,(12.5) -115
Jrue Holiday,DAL,Pts+Asts,Over,(17.5) -110
Jrue Holiday,DAL,Pts+Asts,Under,(17.5) -120
Jrue Holiday,DAL,Pts+Rebs,Over,(18.5) 100
Jrue Holiday,DAL,Pts+Rebs,Under,(18.5) -130
Jrue Holiday,DAL,Pts+Rebs+Asts,Over,(22.5) -130
Jrue Holiday,DAL,Pts+Rebs+Asts,Under,(22.5) 100
Jrue Holiday,DAL,Rebounds,Over,(5.5) 105
Jrue Holiday,DAL,Rebounds,Under,(5.5) -135
Jrue Holiday,DAL,Rebs+Asts,Over,(10.5) 105
Jrue Holiday,DAL,Rebs+Asts,Under,(10.5) -135
Kristaps Porzingis,DAL,Assists,Over,(1.5) -135
Kristaps Porzingis,DAL,Assists,Under,(1.5) 105
Kristaps Porzingis,DAL,Points,Over,(15.5) -120
Kristaps Porzingis,DAL,Points,Under,(15.5) -110
Kristaps Porzingis,DAL,Pts+Asts,Over,(17.5) -110
Kristaps Porzingis,DAL,Pts+Asts,Under,(17.5) -120
Kristaps Porzingis,DAL,Pts+Rebs,Over,(22.5) 100
Kristaps Porzingis,DAL,Pts+Rebs,Under,(22.5) -130
Kristaps Porzingis,DAL,Pts+Rebs+Asts,Over,(23.5) -140
Kristaps Porzingis,DAL,Pts+Rebs+Asts,Under,(23.5) 110
Kristaps Porzingis,DAL,Rebounds,Over,(6.5) 110
