Rank,Player,Team,Pos,Value
1,Tyrese Haliburton,Indiana Pacers,PG,11.64
2,Trae Young,Atlanta Hawks,PG,10.83
3,Luka Doncic,Dallas Mavericks,SF,9.44
4,Nikola Jokic,Denver Nuggets,C,8.98
5,James Harden,Los Angeles Clippers,SG,8.48
6,Domantas Sabonis,Sacramento Kings,PF,8.29
7,Fred VanVleet,Houston Rockets,PG,8.19
8,LeBron James,Los Angeles Lakers,SF,7.67
9,Cade Cunningham,Detroit Pistons,PG,7.45
10,Devin Booker,Phoenix Suns,SG,7.09
11,Damian Lillard,Milwaukee Bucks,PG,6.79
12,Jamal Murray,Denver Nuggets,SG,6.62
13,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,6.56
14,Mike Conley,Minnesota Timberwolves,PG,6.51
15,Tyus Jones,Washington Wizards,PG,6.48
16,Jalen Brunson,New York Knicks,PG,6.46
17,Tyrese Maxey,Philadelphia 76ers,PG,6.36
18,Terry Rozier,Miami Heat,PG,6.35
19,Giannis Antetokounmpo,Milwaukee Bucks,SF,6.29
20,Donovan Mitchell,Cleveland Cavaliers,SG,6.26
21,Dennis Schroder,Brooklyn Nets,PG,6.25
22,D'Angelo Russell,Los Angeles Lakers,PG,6.20
23,Spencer Dinwiddie,Los Angeles Lakers,PG,6.00
24,Scottie Barnes,Toronto Raptors,SF,5.87
25,Brandon Ingram,New Orleans Pelicans,SF,5.80
26,Tre Jones,San Antonio Spurs,PG,5.75
27,Kevin Durant,Phoenix Suns,SF,5.70
28,T.J. McConnell,Indiana Pacers,PG,5.66
29,Malcolm Brogdon,Portland Trail Blazers,SG,5.49
30,De'Aaron Fox,Sacramento Kings,PG,5.43
31,Austin Reaves,Los Angeles Lakers,PG,5.35
32,Malik Monk,Sacramento Kings,SG,5.31
33,Desmond Bane,Memphis Grizzlies,SG,5.30
34,Dejounte Murray,Atlanta Hawks,PG,5.28
35,Coby White,Chicago Bulls,SG,5.25
36,DeMar DeRozan,Chicago Bulls,SG,5.24
37,Anthony Edwards,Minnesota Timberwolves,SG,5.22
38,Paolo Banchero,Orlando Magic,PF,5.17
39,Khris Middleton,Milwaukee Bucks,SF,5.02
40,Alperen Sengun,Houston Rockets,C,5.00
41,Julius Randle,New York Knicks,PF,4.98
42,Killian Hayes,Detroit Pistons,PG,4.88
43,Jordan Clarkson,Utah Jazz,PG,4.84
44,Stephen Curry,Golden State Warriors,PG,4.83
45,Pascal Siakam,Indiana Pacers,PF,4.83
46,Zion Williamson,New Orleans Pelicans,PF,4.79
47,Derrick White,Boston Celtics,PG,4.78
48,Jayson Tatum,Boston Celtics,SF,4.70
49,CJ McCollum,New Orleans Pelicans,SG,4.67
50,Jalen Williams,Oklahoma City Thunder,SG,4.64
51,Russell Westbrook,Los Angeles Clippers,PG,4.63
52,Jrue Holiday,Boston Celtics,PG,4.63
53,Scoot Henderson,Portland Trail Blazers,PG,4.61
54,Jimmy Butler,Miami Heat,PF,4.59
55,Josh Giddey,Oklahoma City Thunder,SG,4.50
55,Andrew Nembhard,Indiana Pacers,PG,4.50
57,Collin Sexton,Utah Jazz,PG,4.49
58,Kelly Olynyk,Toronto Raptors,PF,4.35
59,Caris LeVert,Cleveland Cavaliers,SG,4.27
60,Kris Dunn,Utah Jazz,PG,4.27
61,Kyle Kuzma,Washington Wizards,PF,4.24
62,Keyonte George,Utah Jazz,SG,4.21
63,Franz Wagner,Orlando Magic,SF,4.07
64,Dennis Smith Jr.,Brooklyn Nets,PG,4.03
65,Bam Adebayo,Miami Heat,C,4.02
66,Kyle Lowry,Miami Heat,PG,3.97
67,Kyle Anderson,Minnesota Timberwolves,SF,3.96
68,Anthony Davis,Los Angeles Lakers,PF,3.92
69,Reggie Jackson,Denver Nuggets,PG,3.91
70,Deni Avdija,Washington Wizards,SF,3.83
71,Kawhi Leonard,Los Angeles Clippers,SF,3.77
72,Immanuel Quickley,Toronto Raptors,SG,3.75
73,Jaylen Brown,Boston Celtics,SG,3.73
74,Brandin Podziemski,Golden State Warriors,SG,3.73
75,Max Strus,Cleveland Cavaliers,PG,3.71
76,Mikal Bridges,Brooklyn Nets,SG,3.69
77,Jaden Ivey,Detroit Pistons,PG,3.69
78,Jusuf Nurkic,Phoenix Suns,C,3.68
79,Jeremy Sochan,San Antonio Spurs,PF,3.66
80,Jordan Poole,Washington Wizards,SG,3.66
81,Paul George,Los Angeles Clippers,SF,3.60
82,Devin Vassell,San Antonio Spurs,SG,3.56
83,Nikola Vucevic,Chicago Bulls,C,3.50
84,Jalen Johnson,Atlanta Hawks,SF,3.44
85,Ish Smith,Charlotte Hornets,PG,3.37
86,Jalen Green,Houston Rockets,SG,3.37
87,Tobias Harris,Philadelphia 76ers,SF,3.35
88,Miles Bridges,Charlotte Hornets,SF,3.29
89,Josh Hart,New York Knicks,SG,3.21
90,Victor Wembanyama,San Antonio Spurs,PF,3.13
91,Cole Anthony,Orlando Magic,PG,3.12
92,Aaron Gordon,Denver Nuggets,PF,3.11
92,Grayson Allen,Phoenix Suns,SG,3.11
94,Patrick Beverley,Milwaukee Bucks,PG,3.08
95,Zach Collins,San Antonio Spurs,PF,3.07
96,Keldon Johnson,San Antonio Spurs,SF,3.04
97,Joe Ingles,Orlando Magic,SF,3.03
98,Karl-Anthony Towns,Minnesota Timberwolves,C,2.96
99,Marcus Sasser,Detroit Pistons,SG,2.94
100,RJ Barrett,Toronto Raptors,SF,2.91
