Rank,Player,Team,Pos,Value
1,Joel Embiid,Philadelphia 76ers,C,39.76
2,Nikola Jokic,Denver Nuggets,C,38.19
3,Luka Doncic,Dallas Mavericks,SF,36.60
4,Giannis Antetokounmpo,Milwaukee Bucks,SF,36.44
5,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,34.00
6,Anthony Davis,Los Angeles Lakers,PF,33.51
7,Domantas Sabonis,Sacramento Kings,PF,32.20
8,Tyrese Haliburton,Indiana Pacers,PG,29.89
9,Kevin Durant,Phoenix Suns,SF,29.58
10,Devin Booker,Phoenix Suns,SG,28.47
11,LeBron James,Los Angeles Lakers,SF,28.33
12,Jayson Tatum,Boston Celtics,SF,27.38
13,Donovan Mitchell,Cleveland Cavaliers,SG,26.83
14,Alperen Sengun,Houston Rockets,C,26.63
15,Kawhi Leonard,Los Angeles Clippers,SF,26.10
16,Bam Adebayo,Miami Heat,C,25.86
17,Trae Young,Atlanta Hawks,PG,25.67
18,Lauri Markkanen,Utah Jazz,PF,25.49
19,Victor Wembanyama,San Antonio Spurs,PF,24.93
20,Scottie Barnes,Toronto Raptors,SF,24.91
21,Jalen Brunson,New York Knicks,PG,24.74
22,Karl-Anthony Towns,Minnesota Timberwolves,C,24.72
23,Jarrett Allen,Cleveland Cavaliers,C,24.69
24,Julius Randle,New York Knicks,PF,24.46
25,Damian Lillard,Milwaukee Bucks,PG,24.25
26,Tyrese Maxey,Philadelphia 76ers,PG,24.19
27,Stephen Curry,Golden State Warriors,PG,24.02
28,De'Aaron Fox,Sacramento Kings,PG,23.82
29,Pascal Siakam,Indiana Pacers,PF,23.63
30,Rudy Gobert,Minnesota Timberwolves,C,23.54
31,Anthony Edwards,Minnesota Timberwolves,SG,23.23
32,James Harden,Los Angeles Clippers,SG,23.15
33,Desmond Bane,Memphis Grizzlies,SG,22.78
34,Nikola Vucevic,Chicago Bulls,C,22.60
35,Zion Williamson,New Orleans Pelicans,PF,22.58
36,Kristaps Porzingis,Boston Celtics,PF,22.26
37,Paul George,Los Angeles Clippers,SF,22.19
38,Chet Holmgren,Oklahoma City Thunder,C,22.13
39,Nic Claxton,Brooklyn Nets,C,22.06
40,DeMar DeRozan,Chicago Bulls,SG,22.02
41,Jamal Murray,Denver Nuggets,SG,21.94
42,Brandon Ingram,New Orleans Pelicans,SF,21.42
43,Jalen Johnson,Atlanta Hawks,SF,21.36
44,Jonas Valanciunas,New Orleans Pelicans,C,21.23
44,Paolo Banchero,Orlando Magic,PF,21.23
46,Dejounte Murray,Atlanta Hawks,PG,21.20
47,Terry Rozier,Miami Heat,PG,21.18
48,Miles Bridges,Charlotte Hornets,SF,20.97
49,Jaylen Brown,Boston Celtics,SG,20.96
50,Fred VanVleet,Houston Rockets,PG,20.86
51,Cade Cunningham,Detroit Pistons,PG,20.51
52,Kyle Kuzma,Washington Wizards,PF,20.46
53,Franz Wagner,Orlando Magic,SF,20.33
54,Jalen Williams,Oklahoma City Thunder,SG,20.11
55,Ivica Zubac,Los Angeles Clippers,C,20.05
56,Tobias Harris,Philadelphia 76ers,SF,20.05
57,CJ McCollum,New Orleans Pelicans,SG,20.03
58,Jusuf Nurkic,Phoenix Suns,C,19.89
59,Mikal Bridges,Brooklyn Nets,SG,19.76
60,Jaren Jackson Jr.,Memphis Grizzlies,PF,19.60
60,Clint Capela,Atlanta Hawks,C,19.60
62,Myles Turner,Indiana Pacers,C,19.51
63,Daniel Gafford,Washington Wizards,PF,19.46
64,Coby White,Chicago Bulls,SG,18.69
65,Jakob Poeltl,Toronto Raptors,C,18.67
66,Derrick White,Boston Celtics,PG,18.48
67,Jabari Smith Jr.,Houston Rockets,PF,18.17
68,Jrue Holiday,Boston Celtics,PG,17.59
69,D'Angelo Russell,Los Angeles Lakers,PG,17.52
70,Michael Porter Jr.,Denver Nuggets,PF,17.44
71,Austin Reaves,Los Angeles Lakers,PG,17.36
72,Jerami Grant,Portland Trail Blazers,SF,17.36
73,Aaron Gordon,Denver Nuggets,PF,17.29
74,John Collins,Utah Jazz,PF,17.27
74,Keldon Johnson,San Antonio Spurs,SF,17.27
76,Brook Lopez,Milwaukee Bucks,C,17.21
77,Devin Vassell,San Antonio Spurs,SG,17.10
78,RJ Barrett,Toronto Raptors,SF,17.08
79,Dereck Lively II,Dallas Mavericks,C,17.06
80,Khris Middleton,Milwaukee Bucks,SF,16.98
81,Tyus Jones,Washington Wizards,PG,16.93
82,Deni Avdija,Washington Wizards,SF,16.74
83,Malcolm Brogdon,Portland Trail Blazers,SG,16.73
84,Collin Sexton,Utah Jazz,PG,16.61
85,Nick Richards,Charlotte Hornets,C,16.47
86,Keegan Murray,Sacramento Kings,SF,16.39
87,Isaiah Hartenstein,New York Knicks,C,15.96
88,Walker Kessler,Utah Jazz,C,15.93
89,O.G. Anunoby,New York Knicks,SF,15.88
90,Dennis Schroder,Toronto Raptors,PG,15.87
91,Grayson Allen,Phoenix Suns,SG,15.81
92,Josh Giddey,Oklahoma City Thunder,SG,15.52
93,Mike Conley,Minnesota Timberwolves,PG,15.43
94,Jalen Green,Houston Rockets,SG,15.37
95,Chris Paul,Golden State Warriors,PG,15.31
96,Russell Westbrook,Los Angeles Clippers,PG,15.16
97,Bogdan Bogdanovic,Atlanta Hawks,SG,14.98
98,Onyeka Okongwu,Atlanta Hawks,PF,14.96
99,Cam Thomas,Brooklyn Nets,SG,14.95
100,Bobby Portis,Milwaukee Bucks,PF,14.94
