Rank,Player,Team,Pos,Value
1,Nikola Jokic,Denver Nuggets,C,40.62
2,Giannis Antetokounmpo,Milwaukee Bucks,SF,38.75
3,LaMelo Ball,Charlotte Hornets,PG,37.94
4,Luka Doncic,Dallas Mavericks,SF,35.71
5,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,35.71
6,Jayson Tatum,Boston Celtics,SF,34.22
7,Trae Young,Atlanta Hawks,PG,33.82
8,De'Aaron Fox,Sacramento Kings,PG,33.78
9,Damian Lillard,Milwaukee Bucks,PG,33.67
10,Jalen Brunson,New York Knicks,PG,32.88
11,Anthony Davis,Los Angeles Lakers,PF,32.75
12,LeBron James,Los Angeles Lakers,SF,32.47
13,Cade Cunningham,Detroit Pistons,PG,32.35
14,Anthony Edwards,Minnesota Timberwolves,SG,31.71
15,Devin Booker,Phoenix Suns,SG,30.88
16,Kyrie Irving,Dallas Mavericks,PG,29.94
17,Karl-Anthony Towns,New York Knicks,C,29.44
18,Jaylen Brown,Boston Celtics,SG,29.36
19,James Harden,Los Angeles Clippers,SG,29.21
20,Franz Wagner,Orlando Magic,SF,29.05
21,Stephen Curry,Golden State Warriors,PG,28.93
22,RJ Barrett,Toronto Raptors,SF,28.73
23,Tyler Herro,Miami Heat,SG,28.53
24,Brandon Ingram,New Orleans Pelicans,SF,28.31
25,Donovan Mitchell,Cleveland Cavaliers,SG,28.12
26,Cam Thomas,Brooklyn Nets,SG,28.06
27,Jalen Williams,Oklahoma City Thunder,SG,27.29
28,Darius Garland,Cleveland Cavaliers,PG,27.24
29,Victor Wembanyama,San Antonio Spurs,PF,26.80
30,DeMar DeRozan,Sacramento Kings,SG,26.73
31,Zach LaVine,Chicago Bulls,PG,26.38
32,Domantas Sabonis,Sacramento Kings,PF,26.25
33,Jordan Poole,Washington Wizards,SG,26.07
34,Julius Randle,Minnesota Timberwolves,PF,25.88
35,Tyrese Haliburton,Indiana Pacers,PG,25.61
36,Norman Powell,Los Angeles Clippers,SG,25.60
37,Jalen Johnson,Atlanta Hawks,SF,25.06
38,Jimmy Butler,Miami Heat,PF,24.55
39,Dennis Schroder,Brooklyn Nets,PG,24.53
40,Pascal Siakam,Indiana Pacers,PF,24.44
41,Jaren Jackson Jr.,Memphis Grizzlies,PF,24.06
42,Coby White,Chicago Bulls,SG,23.84
43,Jamal Murray,Denver Nuggets,SG,23.77
44,Nikola Vucevic,Chicago Bulls,C,23.63
45,Brandon Miller,Charlotte Hornets,SF,23.54
46,Alperen Sengun,Houston Rockets,C,23.53
47,Derrick White,Boston Celtics,PG,22.89
48,Jaden Ivey,Detroit Pistons,PG,22.83
49,Austin Reaves,Los Angeles Lakers,PG,22.41
50,Lauri Markkanen,Utah Jazz,PF,21.71
51,Fred VanVleet,Houston Rockets,PG,21.61
52,Michael Porter Jr.,Denver Nuggets,PF,21.38
52,Keyonte George,Utah Jazz,SG,21.38
54,O.G. Anunoby,New York Knicks,SF,21.18
55,Cameron Johnson,Brooklyn Nets,PF,21.17
56,Jalen Green,Houston Rockets,SG,20.84
57,Bam Adebayo,Miami Heat,C,20.53
58,John Collins,Utah Jazz,PF,20.41
59,Gradey Dick,Toronto Raptors,SG,20.35
60,Evan Mobley,Cleveland Cavaliers,C,20.18
61,Bennedict Mathurin,Indiana Pacers,SG,20.11
62,Josh Hart,New York Knicks,SG,19.94
63,Collin Sexton,Utah Jazz,PG,19.88
64,Andrew Wiggins,Golden State Warriors,SF,19.80
65,Jared McCain,Philadelphia 76ers,PG,19.44
66,Anfernee Simons,Portland Trail Blazers,SG,19.40
67,Kyle Kuzma,Washington Wizards,PF,19.27
68,Mikal Bridges,New York Knicks,SG,19.18
69,Chris Paul,San Antonio Spurs,PG,19.06
70,Jordan Clarkson,Utah Jazz,PG,18.85
71,Jakob Poeltl,Toronto Raptors,C,18.78
72,Josh Giddey,Chicago Bulls,SG,18.68
73,Jalen Suggs,Orlando Magic,SG,18.33
74,Russell Westbrook,Denver Nuggets,PG,18.31
75,Jerami Grant,Portland Trail Blazers,SF,18.22
76,Ivica Zubac,Los Angeles Clippers,C,18.05
77,Scotty Pippen Jr.,Memphis Grizzlies,PG,17.94
78,Tyus Jones,Phoenix Suns,PG,17.94
79,Christian Braun,Denver Nuggets,SG,17.94
80,Myles Turner,Indiana Pacers,C,17.81
81,Payton Pritchard,Boston Celtics,PG,17.78
82,Dyson Daniels,Atlanta Hawks,SG,17.50
83,Malik Beasley,Detroit Pistons,SG,17.42
84,Buddy Hield,Golden State Warriors,SG,17.18
85,Tre Mann,Charlotte Hornets,PG,17.08
86,Bilal Coulibaly,Washington Wizards,SG,16.73
87,Jarrett Allen,Cleveland Cavaliers,C,16.67
88,Terry Rozier,Miami Heat,PG,16.62
89,Scoot Henderson,Portland Trail Blazers,PG,16.53
90,D'Angelo Russell,Los Angeles Lakers,PG,16.41
91,Brandon Boston Jr.,New Orleans Pelicans,PG,16.40
92,Ty Jerome,Cleveland Cavaliers,SG,16.33
93,Caris LeVert,Cleveland Cavaliers,SG,16.23
94,Tobias Harris,Detroit Pistons,SF,16.21
95,Santi Aldama,Memphis Grizzlies,PF,16.11
96,Jrue Holiday,Boston Celtics,PG,16.06
97,Naz Reid,Minnesota Timberwolves,C,15.59
98,Ayo Dosunmu,Chicago Bulls,PG,15.53
99,Stephon Castle,San Antonio Spurs,PG,15.22
100,Jonathan Kuminga,Golden State Warriors,PF,15.13
