Rank,Player,Team,Pos,Value
1,Nikola Jokic,Denver Nuggets,C,52.86
2,Giannis Antetokounmpo,Milwaukee Bucks,SF,48.85
3,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,43.84
4,Jayson Tatum,Boston Celtics,SF,41.47
5,Cade Cunningham,Detroit Pistons,PG,41.33
6,LeBron James,Los Angeles Lakers,SF,40.44
7,Karl-Anthony Towns,New York Knicks,C,40.29
8,Domantas Sabonis,Sacramento Kings,PF,39.04
9,Trae Young,Atlanta Hawks,PG,38.91
10,Anthony Edwards,Minnesota Timberwolves,SG,37.59
11,James Harden,Los Angeles Clippers,SG,37.04
12,Kevin Durant,Phoenix Suns,SF,36.84
13,Devin Booker,Phoenix Suns,SG,36.76
14,Damian Lillard,Milwaukee Bucks,PG,36.61
15,Jalen Brunson,New York Knicks,PG,36.18
16,Stephen Curry,Golden State Warriors,PG,34.84
17,De'Aaron Fox,San Antonio Spurs,PG,34.66
18,Tyler Herro,Miami Heat,SG,34.58
19,Franz Wagner,Orlando Magic,SF,34.58
20,Alperen Sengun,Houston Rockets,C,34.48
21,Donovan Mitchell,Cleveland Cavaliers,SG,33.48
22,RJ Barrett,Toronto Raptors,SF,32.81
23,Jaylen Brown,Boston Celtics,SG,32.57
24,Scottie Barnes,Toronto Raptors,SF,32.47
25,Nikola Vucevic,Chicago Bulls,C,32.28
26,Bam Adebayo,Miami Heat,C,32.00
27,Jalen Williams,Oklahoma City Thunder,SG,31.97
28,Zach LaVine,Sacramento Kings,PG,31.93
29,Ivica Zubac,Los Angeles Clippers,C,31.92
30,Miles Bridges,Charlotte Hornets,SF,31.70
31,Jamal Murray,Denver Nuggets,SG,31.42
32,Tyrese Haliburton,Indiana Pacers,PG,31.37
33,Evan Mobley,Cleveland Cavaliers,C,31.00
34,DeMar DeRozan,Sacramento Kings,SG,30.75
35,Desmond Bane,Memphis Grizzlies,SG,30.64
36,Pascal Siakam,Indiana Pacers,PF,30.53
37,Julius Randle,Minnesota Timberwolves,PF,30.49
38,Austin Reaves,Los Angeles Lakers,PG,30.48
39,Darius Garland,Cleveland Cavaliers,PG,30.19
40,Josh Giddey,Chicago Bulls,SG,29.87
41,Jaren Jackson Jr.,Memphis Grizzlies,PF,29.81
42,Jalen Green,Houston Rockets,SG,29.31
43,Josh Hart,New York Knicks,SG,29.10
44,Coby White,Chicago Bulls,SG,28.79
45,Deni Avdija,Portland Trail Blazers,SF,28.08
46,Jordan Poole,Washington Wizards,SG,27.90
47,Michael Porter Jr.,Denver Nuggets,PF,27.33
48,Norman Powell,Los Angeles Clippers,SG,27.25
49,Jakob Poeltl,Toronto Raptors,C,26.82
50,Anfernee Simons,Portland Trail Blazers,SG,26.77
51,Malik Monk,Sacramento Kings,SG,26.52
52,Cameron Johnson,Brooklyn Nets,PF,26.51
53,Keyonte George,Utah Jazz,SG,26.17
54,Amen Thompson,Houston Rockets,SG,26.04
55,Isaiah Hartenstein,Oklahoma City Thunder,C,25.81
56,Shaedon Sharpe,Portland Trail Blazers,SG,25.81
57,Derrick White,Boston Celtics,PG,25.66
58,Jarrett Allen,Cleveland Cavaliers,C,25.41
59,Collin Sexton,Utah Jazz,PG,25.32
60,Andrew Wiggins,Miami Heat,SF,25.08
61,O.G. Anunoby,New York Knicks,SF,25.05
62,Jalen Duren,Detroit Pistons,C,25.03
63,Walker Kessler,Utah Jazz,C,24.91
64,Mikal Bridges,New York Knicks,SG,24.80
65,P.J. Washington,Dallas Mavericks,PF,24.72
66,Onyeka Okongwu,Atlanta Hawks,PF,24.54
67,Rudy Gobert,Minnesota Timberwolves,C,24.52
68,Dyson Daniels,Atlanta Hawks,SG,24.41
69,Russell Westbrook,Denver Nuggets,PG,24.30
70,Myles Turner,Indiana Pacers,C,23.82
71,Fred VanVleet,Houston Rockets,PG,23.39
72,Bennedict Mathurin,Indiana Pacers,SG,23.26
73,Christian Braun,Denver Nuggets,SG,23.19
74,Kelly Oubre Jr.,Philadelphia 76ers,SF,23.03
75,Devin Vassell,San Antonio Spurs,SG,23.03
76,Kyle Kuzma,Milwaukee Bucks,PF,22.81
77,Naz Reid,Minnesota Timberwolves,C,22.51
78,De'Andre Hunter,Cleveland Cavaliers,PF,22.47
79,Stephon Castle,San Antonio Spurs,PG,22.24
80,Tobias Harris,Detroit Pistons,SF,22.06
81,Quentin Grimes,Philadelphia 76ers,SG,21.96
82,Alex Sarr,Washington Wizards,C,21.86
83,Santi Aldama,Memphis Grizzlies,PF,21.77
84,Payton Pritchard,Boston Celtics,PG,21.29
85,Dennis Schroder,Detroit Pistons,PG,21.11
86,Naji Marshall,Dallas Mavericks,PF,21.09
87,Scoot Henderson,Portland Trail Blazers,PG,20.76
88,Draymond Green,Golden State Warriors,PF,20.73
89,Bilal Coulibaly,Washington Wizards,SG,20.68
90,Keegan Murray,Sacramento Kings,SF,20.57
91,D'Angelo Russell,Brooklyn Nets,PG,20.53
92,Malik Beasley,Detroit Pistons,SG,20.53
93,Jabari Smith Jr.,Houston Rockets,PF,20.28
94,Jaden McDaniels,Minnesota Timberwolves,SF,20.04
95,Brandin Podziemski,Golden State Warriors,SG,20.03
96,Nic Claxton,Brooklyn Nets,C,20.03
97,Jonas Valanciunas,Sacramento Kings,C,19.98
98,Brook Lopez,Milwaukee Bucks,C,19.85
99,Chris Paul,San Antonio Spurs,PG,19.68
100,Rui Hachimura,Los Angeles Lakers,PF,19.54
