Rank,Player,Team,Pos,Value
1,Giannis Antetokounmpo,Milwaukee Bucks,SF,44.67
2,Nikola Jokic,Denver Nuggets,C,43.40
3,Anthony Davis,Los Angeles Lakers,PF,42.25
4,Karl-Anthony Towns,New York Knicks,C,38.64
5,Jayson Tatum,Boston Celtics,SF,37.57
6,Luka Doncic,Dallas Mavericks,SF,36.08
7,LaMelo Ball,Charlotte Hornets,PG,34.92
8,Kevin Durant,Phoenix Suns,SF,34.11
9,De'Aaron Fox,Sacramento Kings,PG,33.86
10,Anthony Edwards,Minnesota Timberwolves,SG,33.54
11,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,33.46
12,Victor Wembanyama,San Antonio Spurs,PF,33.23
13,Jaylen Brown,Boston Celtics,SG,32.70
14,Domantas Sabonis,Sacramento Kings,PF,32.69
15,LeBron James,Los Angeles Lakers,SF,31.92
16,Nikola Vucevic,Chicago Bulls,C,31.00
17,Damian Lillard,Milwaukee Bucks,PG,30.60
18,Cade Cunningham,Detroit Pistons,PG,30.36
19,Kyrie Irving,Dallas Mavericks,PG,29.83
20,Brandon Ingram,New Orleans Pelicans,SF,29.64
21,Tyler Herro,Miami Heat,SG,29.45
22,Jalen Johnson,Atlanta Hawks,SF,29.31
23,Jaren Jackson Jr.,Memphis Grizzlies,PF,29.00
24,Donovan Mitchell,Cleveland Cavaliers,SG,28.93
25,Alperen Sengun,Houston Rockets,C,28.69
25,James Harden,Los Angeles Clippers,SG,28.69
27,Cam Thomas,Brooklyn Nets,SG,28.54
28,Jalen Brunson,New York Knicks,PG,28.25
29,RJ Barrett,Toronto Raptors,SF,27.91
30,Jakob Poeltl,Toronto Raptors,C,27.86
31,Franz Wagner,Orlando Magic,SF,27.79
32,Stephen Curry,Golden State Warriors,PG,27.78
33,Ivica Zubac,Los Angeles Clippers,C,27.54
34,Trae Young,Atlanta Hawks,PG,27.42
35,Julius Randle,Minnesota Timberwolves,PF,27.31
36,Zach LaVine,Chicago Bulls,PG,27.10
37,DeMar DeRozan,Sacramento Kings,SG,27.00
38,Norman Powell,Los Angeles Clippers,SG,26.92
39,Jalen Williams,Oklahoma City Thunder,SG,26.77
40,Evan Mobley,Cleveland Cavaliers,C,26.38
41,Pascal Siakam,Indiana Pacers,PF,26.33
42,Devin Booker,Phoenix Suns,SG,26.15
43,Bam Adebayo,Miami Heat,C,25.91
44,John Collins,Utah Jazz,PF,25.75
45,Michael Porter Jr.,Denver Nuggets,PF,25.45
46,Bennedict Mathurin,Indiana Pacers,SG,25.17
47,Chet Holmgren,Oklahoma City Thunder,C,25.10
48,Jarrett Allen,Cleveland Cavaliers,C,24.71
49,Jalen Green,Houston Rockets,SG,24.46
50,Jordan Poole,Washington Wizards,SG,24.45
51,Deandre Ayton,Portland Trail Blazers,C,23.82
52,Coby White,Chicago Bulls,SG,23.77
53,Derrick White,Boston Celtics,PG,23.43
54,Darius Garland,Cleveland Cavaliers,PG,23.36
55,Lauri Markkanen,Utah Jazz,PF,23.22
56,Jaden Ivey,Detroit Pistons,PG,22.92
57,Myles Turner,Indiana Pacers,C,22.73
58,Josh Hart,New York Knicks,SG,22.33
59,O.G. Anunoby,New York Knicks,SF,22.17
60,Aaron Gordon,Denver Nuggets,PF,22.14
61,Jamal Murray,Denver Nuggets,SG,22.00
61,Austin Reaves,Los Angeles Lakers,PG,22.00
63,Miles Bridges,Charlotte Hornets,SF,21.89
64,Dennis Schroder,Brooklyn Nets,PG,21.85
65,Bradley Beal,Phoenix Suns,SG,21.78
66,Gradey Dick,Toronto Raptors,SG,21.71
67,Buddy Hield,Golden State Warriors,SG,21.67
67,Bobby Portis,Milwaukee Bucks,PF,21.67
69,Christian Braun,Denver Nuggets,SG,21.45
70,Rudy Gobert,Minnesota Timberwolves,C,21.31
71,Keegan Murray,Sacramento Kings,SF,21.29
72,Tobias Harris,Detroit Pistons,SF,21.21
73,Jerami Grant,Portland Trail Blazers,SF,21.15
74,Jimmy Butler,Miami Heat,PF,20.88
75,Naz Reid,Minnesota Timberwolves,C,20.69
75,Cameron Johnson,Brooklyn Nets,PF,20.69
77,Bilal Coulibaly,Washington Wizards,SG,20.64
78,Jalen Suggs,Orlando Magic,SG,20.14
79,Mikal Bridges,New York Knicks,SG,20.08
80,Tyrese Haliburton,Indiana Pacers,PG,20.00
81,Walker Kessler,Utah Jazz,C,19.89
82,Jonas Valanciunas,Washington Wizards,C,19.64
83,Dyson Daniels,Atlanta Hawks,SG,19.55
84,Santi Aldama,Memphis Grizzlies,PF,19.54
85,Brandon Miller,Charlotte Hornets,SF,19.50
86,Jordan Clarkson,Utah Jazz,PG,19.00
87,Jusuf Nurkic,Phoenix Suns,C,18.92
88,Daniel Gafford,Dallas Mavericks,PF,18.85
88,Clint Capela,Atlanta Hawks,C,18.85
90,Rui Hachimura,Los Angeles Lakers,PF,18.80
90,Andrew Wiggins,Golden State Warriors,SF,18.80
92,Jabari Smith Jr.,Houston Rockets,PF,18.77
93,Collin Sexton,Utah Jazz,PG,18.75
94,Josh Giddey,Chicago Bulls,SG,18.54
95,Kelly Oubre Jr.,Philadelphia 76ers,SF,18.50
95,Jonathan Kuminga,Golden State Warriors,PF,18.50
97,Zach Edey,Memphis Grizzlies,C,18.38
98,Anfernee Simons,Portland Trail Blazers,SG,18.33
99,Tari Eason,Houston Rockets,SF,18.15
100,Andre Drummond,Philadelphia 76ers,C,18.09
