Rank,Player,Team,Pos,Value
1,Luka Doncic,Dallas Mavericks,SF,34.61
2,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,31.15
3,Giannis Antetokounmpo,Milwaukee Bucks,SF,30.70
4,Donovan Mitchell,Cleveland Cavaliers,SG,27.98
5,Kevin Durant,Phoenix Suns,SF,27.91
6,Devin Booker,Phoenix Suns,SG,27.54
7,Jalen Brunson,New York Knicks,PG,27.21
8,Stephen Curry,Golden State Warriors,PG,27.16
9,De'Aaron Fox,Sacramento Kings,PG,27.09
10,Jayson Tatum,Boston Celtics,SF,27.05
11,Trae Young,Atlanta Hawks,PG,26.35
12,Anthony Edwards,Minnesota Timberwolves,SG,26.12
13,Tyrese Maxey,Philadelphia 76ers,PG,26.02
14,Nikola Jokic,Denver Nuggets,C,25.93
15,LeBron James,Los Angeles Lakers,SF,25.25
16,Anthony Davis,Los Angeles Lakers,PF,25.03
17,Damian Lillard,Milwaukee Bucks,PG,24.45
18,Kawhi Leonard,Los Angeles Clippers,SF,24.09
19,Julius Randle,New York Knicks,PF,23.96
20,Lauri Markkanen,Utah Jazz,PF,23.06
21,DeMar DeRozan,Chicago Bulls,SG,22.98
22,Paolo Banchero,Orlando Magic,PF,22.90
23,Jaren Jackson Jr.,Memphis Grizzlies,PF,22.58
24,Jaylen Brown,Boston Celtics,SG,22.43
25,Kyle Kuzma,Washington Wizards,PF,22.25
26,Cade Cunningham,Detroit Pistons,PG,22.20
27,Karl-Anthony Towns,Minnesota Timberwolves,C,22.13
28,Paul George,Los Angeles Clippers,SF,22.11
29,Zion Williamson,New Orleans Pelicans,PF,22.02
30,Brandon Ingram,New Orleans Pelicans,SF,21.70
31,Pascal Siakam,Indiana Pacers,PF,21.56
32,Dejounte Murray,Atlanta Hawks,PG,21.49
33,Alperen Sengun,Houston Rockets,C,21.28
34,Jerami Grant,Portland Trail Blazers,SF,21.09
35,Miles Bridges,Charlotte Hornets,SF,21.08
36,Mikal Bridges,Brooklyn Nets,SG,21.02
37,Cam Thomas,Brooklyn Nets,SG,20.90
38,Jamal Murray,Denver Nuggets,SG,20.76
39,Tyrese Haliburton,Indiana Pacers,PG,20.75
40,Victor Wembanyama,San Antonio Spurs,PF,20.71
41,Franz Wagner,Orlando Magic,SF,20.40
42,Kristaps Porzingis,Boston Celtics,PF,20.36
43,Bam Adebayo,Miami Heat,C,20.35
44,Terry Rozier,Miami Heat,PG,20.25
45,Scottie Barnes,Toronto Raptors,SF,19.85
46,Domantas Sabonis,Sacramento Kings,PF,19.82
47,Coby White,Chicago Bulls,SG,19.69
48,RJ Barrett,Toronto Raptors,SF,19.35
49,Jalen Williams,Oklahoma City Thunder,SG,19.32
50,Devin Vassell,San Antonio Spurs,SG,19.30
51,CJ McCollum,New Orleans Pelicans,SG,18.65
52,Jalen Green,Houston Rockets,SG,18.21
53,Collin Sexton,Utah Jazz,PG,18.19
54,Nikola Vucevic,Chicago Bulls,C,17.82
55,James Harden,Los Angeles Clippers,SG,17.66
56,D'Angelo Russell,Los Angeles Lakers,PG,17.60
57,Tobias Harris,Philadelphia 76ers,SF,17.48
58,Jordan Clarkson,Utah Jazz,PG,17.21
59,Chet Holmgren,Oklahoma City Thunder,C,17.18
60,Myles Turner,Indiana Pacers,C,17.13
61,Klay Thompson,Golden State Warriors,SG,16.83
62,Brandon Miller,Charlotte Hornets,SF,16.75
63,Jordan Poole,Washington Wizards,SG,16.72
64,Michael Porter Jr.,Denver Nuggets,PF,16.64
65,Bogdan Bogdanovic,Atlanta Hawks,SG,16.63
66,Fred VanVleet,Houston Rockets,PG,16.56
67,Tim Hardaway Jr.,Dallas Mavericks,SG,16.27
68,Immanuel Quickley,Toronto Raptors,SG,16.14
69,Jarrett Allen,Cleveland Cavaliers,C,15.91
70,Austin Reaves,Los Angeles Lakers,PG,15.88
71,Keldon Johnson,San Antonio Spurs,SF,15.81
72,Jalen Johnson,Atlanta Hawks,SF,15.67
73,Jonathan Kuminga,Golden State Warriors,PF,15.63
74,Malik Monk,Sacramento Kings,SG,15.55
75,Derrick White,Boston Celtics,PG,15.28
76,Jaden Ivey,Detroit Pistons,PG,15.05
77,Keegan Murray,Sacramento Kings,SF,14.93
78,Bennedict Mathurin,Indiana Pacers,SG,14.60
79,John Collins,Utah Jazz,PF,14.56
80,Kelly Oubre Jr.,Philadelphia 76ers,SF,14.39
81,Donte DiVincenzo,New York Knicks,SG,14.33
82,Caris LeVert,Cleveland Cavaliers,SG,13.96
83,Jalen Duren,Detroit Pistons,C,13.91
84,Aaron Gordon,Denver Nuggets,PF,13.88
85,Saddiq Bey,Atlanta Hawks,SF,13.87
86,Rudy Gobert,Minnesota Timberwolves,C,13.80
87,Cameron Johnson,Brooklyn Nets,PF,13.76
88,Deni Avdija,Washington Wizards,SF,13.68
89,Norman Powell,Los Angeles Clippers,SG,13.58
90,Dennis Schroder,Brooklyn Nets,PG,13.58
91,Jonas Valanciunas,New Orleans Pelicans,C,13.44
92,P.J. Washington,Dallas Mavericks,PF,13.41
93,Duncan Robinson,Miami Heat,SF,13.34
94,Jabari Smith Jr.,Houston Rockets,PF,13.33
95,Bobby Portis,Milwaukee Bucks,PF,13.24
96,Dillon Brooks,Houston Rockets,SG,13.15
97,Grayson Allen,Phoenix Suns,SG,12.88
98,Scoot Henderson,Portland Trail Blazers,PG,12.86
99,Jrue Holiday,Boston Celtics,PG,12.86
100,Jaime Jaquez Jr.,Miami Heat,SG,12.67
