Rank,Player,Team,Pos,Value
1,Nikola Jokic,Denver Nuggets,C,23.06
2,Domantas Sabonis,Sacramento Kings,PF,20.03
3,Giannis Antetokounmpo,Milwaukee Bucks,SF,18.12
4,LeBron James,Los Angeles Lakers,SF,16.62
5,Karl-Anthony Towns,New York Knicks,C,16.08
6,Alperen Sengun,Houston Rockets,C,15.43
7,Josh Hart,New York Knicks,SG,15.41
8,Cade Cunningham,Detroit Pistons,PG,15.36
9,Ivica Zubac,Los Angeles Clippers,C,15.01
10,Isaiah Hartenstein,Oklahoma City Thunder,C,14.98
11,Jayson Tatum,Boston Celtics,SF,14.64
12,Josh Giddey,Chicago Bulls,SG,14.59
13,Trae Young,Atlanta Hawks,PG,14.58
14,James Harden,Los Angeles Clippers,SG,14.48
15,Bam Adebayo,Miami Heat,C,13.97
16,Walker Kessler,Utah Jazz,C,13.93
17,Scottie Barnes,Toronto Raptors,SF,13.74
18,Nikola Vucevic,Chicago Bulls,C,13.50
19,Tyrese Haliburton,Indiana Pacers,PG,12.82
20,Jalen Duren,Detroit Pistons,C,12.79
21,Evan Mobley,Cleveland Cavaliers,C,12.42
22,Jakob Poeltl,Toronto Raptors,C,12.41
23,Rudy Gobert,Minnesota Timberwolves,C,12.17
24,RJ Barrett,Toronto Raptors,SF,12.04
25,Jarrett Allen,Cleveland Cavaliers,C,11.93
26,Amen Thompson,Houston Rockets,SG,11.90
27,Draymond Green,Golden State Warriors,PF,11.83
28,Damian Lillard,Milwaukee Bucks,PG,11.69
29,Miles Bridges,Charlotte Hornets,SF,11.68
30,Desmond Bane,Memphis Grizzlies,SG,11.67
31,Julius Randle,Minnesota Timberwolves,PF,11.60
32,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,11.29
33,Devin Booker,Phoenix Suns,SG,11.27
34,Chris Paul,San Antonio Spurs,PG,11.24
35,Russell Westbrook,Denver Nuggets,PG,11.22
36,De'Aaron Fox,San Antonio Spurs,PG,11.13
37,Onyeka Okongwu,Atlanta Hawks,PF,11.00
38,Tyler Herro,Miami Heat,SG,10.80
39,Deni Avdija,Portland Trail Blazers,SF,10.72
40,Jalen Williams,Oklahoma City Thunder,SG,10.68
41,Jaylen Brown,Boston Celtics,SG,10.59
42,Franz Wagner,Orlando Magic,SF,10.47
43,Austin Reaves,Los Angeles Lakers,PG,10.39
44,Stephen Curry,Golden State Warriors,PG,10.38
45,Pascal Siakam,Indiana Pacers,PF,10.38
46,Jalen Brunson,New York Knicks,PG,10.38
47,Kevin Durant,Phoenix Suns,SF,10.35
48,Anthony Edwards,Minnesota Timberwolves,SG,10.30
49,Jonas Valanciunas,Sacramento Kings,C,10.21
50,P.J. Washington,Dallas Mavericks,PF,10.18
51,Dyson Daniels,Atlanta Hawks,SG,10.07
52,Nic Claxton,Brooklyn Nets,C,9.89
53,Jamal Murray,Denver Nuggets,SG,9.88
54,Malik Monk,Sacramento Kings,SG,9.71
55,Clint Capela,Atlanta Hawks,C,9.65
56,Wendell Carter Jr.,Orlando Magic,C,9.58
57,Fred VanVleet,Houston Rockets,PG,9.48
58,Isaiah Collier,Utah Jazz,PG,9.48
59,Keyonte George,Utah Jazz,SG,9.47
60,Santi Aldama,Memphis Grizzlies,PF,9.46
61,Darius Garland,Cleveland Cavaliers,PG,9.46
62,Tyrese Maxey,Philadelphia 76ers,PG,9.44
63,Yves Missi,New Orleans Pelicans,C,9.37
64,Nick Richards,Phoenix Suns,C,9.33
65,Michael Porter Jr.,Denver Nuggets,PF,9.15
66,Donovan Mitchell,Cleveland Cavaliers,SG,9.14
67,Alex Sarr,Washington Wizards,C,8.96
68,Jeremy Sochan,San Antonio Spurs,PF,8.96
69,Derrick White,Boston Celtics,PG,8.87
70,Zach LaVine,Sacramento Kings,PG,8.78
71,Goga Bitadze,Orlando Magic,C,8.71
72,Zach Edey,Memphis Grizzlies,C,8.60
73,Trey Murphy III,New Orleans Pelicans,SF,8.58
74,Donovan Clingan,Portland Trail Blazers,C,8.47
75,Kyle Kuzma,Milwaukee Bucks,PF,8.45
76,Naz Reid,Minnesota Timberwolves,C,8.36
77,Bilal Coulibaly,Washington Wizards,SG,8.36
78,Tobias Harris,Detroit Pistons,SF,8.30
79,Daniel Gafford,Dallas Mavericks,PF,8.29
80,Andrew Nembhard,Indiana Pacers,PG,8.27
81,Brandin Podziemski,Golden State Warriors,SG,8.24
82,Keegan Murray,Sacramento Kings,SF,8.22
83,Myles Turner,Indiana Pacers,C,8.20
84,DeMar DeRozan,Sacramento Kings,SG,8.19
85,Bub Carrington,Washington Wizards,PG,8.18
86,Al Horford,Boston Celtics,C,8.16
87,Scoot Henderson,Portland Trail Blazers,PG,8.11
88,Jalen Green,Houston Rockets,SG,8.05
89,Mason Plumlee,Phoenix Suns,PF,8.01
90,Toumani Camara,Portland Trail Blazers,PF,8.01
91,Tyus Jones,Phoenix Suns,PG,8.00
92,Coby White,Chicago Bulls,SG,7.98
93,Jrue Holiday,Boston Celtics,PG,7.96
94,D'Angelo Russell,Brooklyn Nets,PG,7.96
95,Jaden McDaniels,Minnesota Timberwolves,SF,7.95
96,Kelly Oubre Jr.,Philadelphia 76ers,SF,7.93
97,CJ McCollum,New Orleans Pelicans,SG,7.86
98,Kevon Looney,Golden State Warriors,PF,7.83
99,Dennis Schroder,Detroit Pistons,PG,7.82
100,Kel'el Ware,Miami Heat,C,7.81
