Rank,Player,Team,Pos,Value
1,Nikola Jokic,Denver Nuggets,C,13.50
2,Domantas Sabonis,Sacramento Kings,PF,13.13
3,Karl-Anthony Towns,New York Knicks,C,13.00
4,Ivica Zubac,Los Angeles Clippers,C,12.50
5,Giannis Antetokounmpo,Milwaukee Bucks,SF,12.33
6,Jarrett Allen,Cleveland Cavaliers,C,11.89
7,Walker Kessler,Utah Jazz,C,11.86
8,Anthony Davis,Los Angeles Lakers,PF,11.57
9,Deandre Ayton,Portland Trail Blazers,C,11.50
10,Jakob Poeltl,Toronto Raptors,C,11.44
11,Alperen Sengun,Houston Rockets,C,11.38
12,Nikola Vucevic,Chicago Bulls,C,10.75
13,Jusuf Nurkic,Phoenix Suns,C,10.63
14,Andre Drummond,Philadelphia 76ers,C,10.57
15,Jalen Johnson,Atlanta Hawks,SF,10.56
16,Nick Richards,Charlotte Hornets,C,10.00
16,Rudy Gobert,Minnesota Timberwolves,C,10.00
18,Victor Wembanyama,San Antonio Spurs,PF,9.88
19,Chet Holmgren,Oklahoma City Thunder,C,9.75
20,Jalen Duren,Detroit Pistons,C,9.67
21,Bobby Portis,Milwaukee Bucks,PF,9.14
22,Bam Adebayo,Miami Heat,C,9.00
23,Josh Hart,New York Knicks,SG,8.86
24,Wendell Carter Jr.,Orlando Magic,C,8.83
25,Kevon Looney,Golden State Warriors,PF,8.38
26,Keegan Murray,Sacramento Kings,SF,8.25
27,Evan Mobley,Cleveland Cavaliers,C,8.22
28,Dereck Lively II,Dallas Mavericks,C,8.17
28,Jonas Valanciunas,Washington Wizards,C,8.17
30,James Harden,Los Angeles Clippers,SG,8.13
30,Luka Doncic,Dallas Mavericks,SF,8.13
32,Santi Aldama,Memphis Grizzlies,PF,8.11
33,Zion Williamson,New Orleans Pelicans,PF,8.00
34,John Collins,Utah Jazz,PF,7.71
34,P.J. Washington,Dallas Mavericks,PF,7.71
36,Tobias Harris,Detroit Pistons,SF,7.67
37,Jaime Jaquez Jr.,Miami Heat,SG,7.60
38,Jeremy Sochan,San Antonio Spurs,PF,7.43
39,Nic Claxton,Brooklyn Nets,C,7.29
40,Michael Porter Jr.,Denver Nuggets,PF,7.25
40,Jabari Smith Jr.,Houston Rockets,PF,7.25
42,Jaylen Brown,Boston Celtics,SG,7.17
43,Myles Turner,Indiana Pacers,C,7.14
44,Jayson Tatum,Boston Celtics,SF,7.00
44,Alexandre Sarr,Washington Wizards,C,7.00
46,LeBron James,Los Angeles Lakers,SF,6.88
47,Cade Cunningham,Detroit Pistons,PG,6.78
47,Isaiah Stewart,Detroit Pistons,PF,6.78
49,Miles Bridges,Charlotte Hornets,SF,6.75
49,Kevin Durant,Phoenix Suns,SF,6.75
49,Jalen Williams,Oklahoma City Thunder,SG,6.75
52,Aaron Gordon,Denver Nuggets,PF,6.71
53,Josh Giddey,Chicago Bulls,SG,6.63
53,Pascal Siakam,Indiana Pacers,PF,6.63
53,Royce O'Neale,Phoenix Suns,SF,6.63
56,Caleb Martin,Philadelphia 76ers,SF,6.57
56,Naz Reid,Minnesota Timberwolves,C,6.57
58,Zach Edey,Memphis Grizzlies,C,6.56
59,Clint Capela,Atlanta Hawks,C,6.44
60,Rui Hachimura,Los Angeles Lakers,PF,6.43
60,Julius Randle,Minnesota Timberwolves,PF,6.43
62,Brandon Ingram,New Orleans Pelicans,SF,6.11
63,Deni Avdija,Portland Trail Blazers,SF,6.00
63,Ben Simmons,Brooklyn Nets,SG,6.00
63,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,6.00
66,Yves Missi,New Orleans Pelicans,C,5.89
67,Daniel Gafford,Dallas Mavericks,PF,5.88
67,Bennedict Mathurin,Indiana Pacers,SG,5.88
69,Bilal Coulibaly,Washington Wizards,SG,5.83
70,Jake LaRavia,Memphis Grizzlies,SF,5.78
71,Amen Thompson,Houston Rockets,SG,5.75
72,Onyeka Okongwu,Atlanta Hawks,PF,5.71
73,Draymond Green,Golden State Warriors,PF,5.63
74,Isaiah Jackson,Indiana Pacers,PF,5.60
75,Anthony Edwards,Minnesota Timberwolves,SG,5.57
76,Zach LaVine,Chicago Bulls,PG,5.50
77,Ayo Dosunmu,Chicago Bulls,PG,5.38
77,Patrick Williams,Chicago Bulls,SF,5.38
77,Keldon Johnson,San Antonio Spurs,PF,5.38
77,Donovan Clingan,Portland Trail Blazers,C,5.38
81,Jalen Suggs,Orlando Magic,SG,5.33
81,RJ Barrett,Toronto Raptors,SF,5.33
83,Brandin Podziemski,Golden State Warriors,SG,5.29
83,Brook Lopez,Milwaukee Bucks,C,5.29
83,Jimmy Butler,Miami Heat,PF,5.29
86,Christian Braun,Denver Nuggets,SG,5.25
87,Franz Wagner,Orlando Magic,SF,5.22
88,Stephen Curry,Golden State Warriors,PG,5.20
89,Jalen Smith,Chicago Bulls,PF,5.14
89,Jaren Jackson Jr.,Memphis Grizzlies,PF,5.14
91,Dorian Finney-Smith,Brooklyn Nets,SF,5.13
91,Julian Champagnie,San Antonio Spurs,PF,5.13
93,Terry Rozier,Miami Heat,PG,5.00
93,Neemias Queta,Boston Celtics,C,5.00
93,Ja Morant,Memphis Grizzlies,PG,5.00
93,Al Horford,Boston Celtics,C,5.00
97,Tyler Herro,Miami Heat,SG,4.86
97,David Roddy,Atlanta Hawks,SF,4.86
99,Andrew Wiggins,Golden State Warriors,SF,4.83
100,Jaxson Hayes,Los Angeles Lakers,C,4.75
