Position,Opponent,Points,Rebounds,Assists
C,ATL,#23,#18,#27
PF,ATL,#22,#12,#24
PG,ATL,#11,#14,#19
SF,ATL,#30,#26,#26
SG,ATL,#9,#19,#27
C,BOS,#8,#2,#4
PF,BOS,#20,#19,#18
PG,BOS,#13,#30,#10
SF,BOS,#9,#23,#7
SG,BOS,#3,#17,#2
C,BKN,#11,#9,#20
PF,BKN,#12,#11,#4
PG,BKN,#10,#21,#23
SF,BKN,#27,#5,#17
SG,BKN,#17,#2,#20
C,CHA,#28,#28,#24
PF,CHA,#19,#27,#6
PG,CHA,#5,#24,#18
SF,CHA,#6,#2,#11
SG,CHA,#20,#12,#29
C,CHI,#26,#14,#23
PF,CHI,#29,#26,#29
PG,CHI,#19,#29,#20
SF,CHI,#17,#27,#6
SG,CHI,#6,#26,#12
C,CLE,#17,#21,#25
PF,CLE,#24,#24,#26
PG,CLE,#20,#6,#8
SF,CLE,#23,#29,#4
SG,CLE,#5,#3,#15
C,DAL,#22,#20,#19
PF,DAL,#17,#7,#17
PG,DAL,#27,#17,#11
SF,DAL,#18,#18,#29
SG,DAL,#10,#22,#11
C,DEN,#19,#23,#29
PF,DEN,#7,#4,#16
PG,DEN,#4,#5,#27
SF,DEN,#7,#3,#24
SG,DEN,#30,#1,#19
C,DET,#9,#1,#21
PF,DET,#23,#9,#10
PG,DET,#22,#7,#9
SF,DET,#26,#15,#21
SG,DET,#11,#9,#3
C,GSW,#2,#7,#12
PF,GSW,#21,#15,#21
PG,GSW,#3,#10,#12
SF,GSW,#16,#8,#20
SG,GSW,#27,#13,#25
C,HOU,#1,#5,#11
PF,HOU,#3,#5,#14
PG,HOU,#28,#25,#1
SF,HOU,#2,#24,#2
SG,HOU,#21,#5,#14
C,IND,#25,#19,#8
PF,IND,#6,#29,#7
PG,IND,#24,#2,#21
SF,IND,#25,#25,#28
SG,IND,#8,#16,#16
C,LAC,#12,#13,#30
PF,LAC,#1,#2,#15
PG,LAC,#7,#23,#15
SF,LAC,#24,#21,#18
SG,LAC,#14,#8,#4
C,LAL,#13,#25,#6
PF,LAL,#4,#8,#20
PG,LAL,#15,#13,#24
SF,LAL,#10,#20,#10
SG,LAL,#16,#11,#26
C,MEM,#14,#15,#13
PF,MEM,#26,#21,#27
PG,MEM,#6,#19,#4
SF,MEM,#15,#11,#30
SG,MEM,#28,#4,#18
C,MIA,#4,#22,#3
PF,MIA,#10,#23,#30
PG,MIA,#14,#18,#25
SF,MIA,#22,#30,#23
SG,MIA,#15,#6,#13
C,MIL,#3,#12,#2
PF,MIL,#27,#3,#12
PG,MIL,#12,#28,#6
SF,MIL,#5,#4,#13
SG,MIL,#19,#28,#22
C,MIN,#10,#11,#14
PF,MIN,#9,#16,#23
PG,MIN,#21,#20,#5
SF,MIN,#3,#7,#3
SG,MIN,#4,#25,#1
C,NOP,#16,#30,#16
PF,NOP,#30,#25,#3
PG,NOP,#18,#27,#28
SF,NOP,#21,#10,#15
SG,NOP,#23,#15,#28
C,NYK,#5,#8,#9
PF,NYK,#5,#18,#5
PG,NYK,#17,#3,#13
SF,NYK,#4,#1,#8
SG,NYK,#13,#18,#6
C,OKC,#15,#27,#10
PF,OKC,#11,#6,#2
PG,OKC,#23,#12,#3
SF,OKC,#1,#9,#14
SG,OKC,#2,#23,#10
C,ORL,#6,#3,#1
PF,ORL,#16,#1,#1
PG,ORL,#16,#1,#2
SF,ORL,#14,#6,#9
SG,ORL,#1,#27,#8
C,PHI,#7,#6,#17
PF,PHI,#15,#17,#28
PG,PHI,#29,#9,#22
SF,PHI,#19,#16,#1
SG,PHI,#12,#10,#21
C,PHX,#18,#26,#5
PF,PHX,#25,#22,#25
PG,PHX,#9,#15,#17
SF,PHX,#20,#14,#19
SG,PHX,#7,#21,#5
C,POR,#20,#29,#18
PF,POR,#8,#13,#19
PG,POR,#8,#8,#16
SF,POR,#11,#12,#12
SG,POR,#29,#7,#23
C,SAC,#27,#17,#26
PF,SAC,#13,#10,#8
PG,SAC,#2,#22,#7
SF,SAC,#12,#19,#22
SG,SAC,#26,#24,#9
C,SAS,#30,#4,#15
PF,SAS,#18,#20,#13
PG,SAS,#1,#16,#29
SF,SAS,#13,#22,#5
SG,SAS,#24,#30,#30
C,TOR,#21,#24,#28
PF,TOR,#14,#28,#22
PG,TOR,#26,#4,#14
SF,TOR,#28,#17,#16
SG,TOR,#22,#14,#7
C,UTA,#24,#10,#7
PF,UTA,#2,#14,#9
PG,UTA,#30,#11,#30
SF,UTA,#29,#13,#25
SG,UTA,#18,#20,#17
C,WAS,#29,#16,#22
PF,WAS,#28,#30,#11
PG,WAS,#25,#26,#26
SF,WAS,#8,#28,#27
SG,WAS,#25,#29,#24
