Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,HOU,21.6,21.3,21.0,22.0,21.3,24.4
2,IND,22.2,25.7,28.0,19.0,23.8,24.4
3,SAS,22.4,22.3,19.0,19.0,24.7,28.0
3,LAC,22.4,22.3,29.0,24.3,19.5,26.0
5,GSW,22.6,24.7,24.0,24.7,19.5,26.7
6,MIA,23.0,21.3,30.0,24.0,20.0,26.3
7,CLE,24.0,23.0,26.0,24.0,24.0,24.7
8,MEM,24.2,27.7,20.0,26.0,20.5,26.6
8,BOS,24.2,23.7,20.0,19.0,26.8,24.4
10,MIL,24.2,24.3,26.0,30.0,22.8,26.7
11,OKC,25.0,24.3,27.0,23.0,26.3,26.4
12,DET,25.2,24.0,31.0,27.3,23.0,27.0
13,SAC,25.4,23.7,30.0,20.5,28.7,26.9
13,MIN,25.4,28.0,30.0,28.0,21.5,24.0
15,ATL,25.5,28.0,28.0,23.8,29.0,28.2
16,PHI,25.8,25.3,23.0,25.0,26.5,25.9
17,BKN,25.8,27.3,24.0,25.0,26.7,25.5
18,ORL,26.2,24.3,25.0,23.5,27.5,23.6
19,NYK,26.4,23.7,23.0,24.5,27.7,25.7
20,PHX,26.8,24.7,27.0,23.5,29.0,26.2
20,DAL,26.8,26.0,21.0,25.0,29.5,26.5
22,CHA,27.0,30.3,21.0,30.3,22.0,28.7
22,WAS,27.0,29.0,28.0,25.3,32.0,29.0
24,TOR,27.7,29.7,29.0,26.5,30.0,28.6
25,POR,28.2,27.3,31.0,29.5,25.5,27.1
26,UTA,28.2,26.0,25.0,28.5,27.0,29.8
27,CHI,28.3,32.0,34.0,23.0,31.0,27.9
28,LAL,29.5,31.0,35.0,28.0,31.0,28.2
29,NOP,29.7,33.7,35.0,30.5,29.3,26.5
30,DEN,30.8,33.7,34.0,26.5,33.7,25.5
