Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,ORL,153.5,155.7,141.0,142.6,162.2,155.7
2,LAC,155.9,141.3,142.0,152.4,162.3,162.1
3,HOU,159.3,159.3,171.0,159.3,159.3,166.7
4,CLE,159.8,157.3,150.0,157.2,162.8,160.4
5,SAS,160.1,163.3,153.0,157.5,164.7,171.9
6,NYK,160.6,167.3,186.0,154.3,165.4,157.1
7,MIN,161.6,169.0,158.0,157.4,165.3,155.2
8,MIA,162.7,154.3,136.0,159.6,164.6,158.5
9,DET,163.0,173.3,165.0,169.3,158.0,170.4
10,OKC,163.3,166.7,155.0,162.3,164.8,164.3
11,DAL,163.5,153.3,171.0,158.7,169.7,165.7
12,SAC,163.6,160.0,163.0,159.0,168.3,165.1
13,BOS,164.1,167.7,156.0,167.1,161.7,157.5
14,GSW,164.4,163.3,160.0,164.2,164.5,165.8
15,PHI,164.4,156.7,140.0,165.0,163.9,164.0
16,PHX,165.4,165.7,186.0,165.5,165.3,163.1
17,MIL,166.0,163.3,173.0,163.1,170.1,167.8
18,DEN,166.7,166.0,139.0,165.1,168.4,158.3
19,MEM,166.7,172.0,173.0,161.7,172.4,166.6
20,BKN,167.0,169.0,167.0,170.6,164.2,165.6
21,CHA,167.9,175.7,184.0,166.5,169.3,169.0
22,NOP,168.0,183.7,174.0,164.8,171.6,160.3
23,POR,168.6,167.0,157.0,171.0,166.4,167.5
24,LAL,168.8,175.0,182.0,166.2,172.0,167.6
25,UTA,169.2,167.3,151.0,168.0,170.1,170.5
26,TOR,170.9,165.0,155.0,170.6,171.1,171.7
27,IND,172.6,186.3,177.0,171.2,173.5,170.4
28,ATL,174.3,178.7,185.0,176.3,172.6,172.4
29,CHI,178.9,183.3,201.0,182.9,175.7,164.9
30,WAS,181.4,174.0,160.0,181.3,181.4,179.9
