Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,MEM,85.0,72.7,74.0,86.0,84.0,76.2
2,DEN,84.8,78.0,87.0,84.9,84.7,80.6
3,GSW,83.6,77.0,71.0,83.3,84.0,84.0
4,ATL,82.4,83.3,85.0,82.5,82.3,79.0
5,TOR,81.8,78.7,83.0,82.6,81.0,78.9
6,CHI,81.8,82.0,91.0,82.8,80.8,76.4
7,HOU,81.6,73.3,79.0,82.4,80.7,79.0
8,CLE,80.8,74.7,89.0,81.7,80.0,77.6
9,SAS,80.5,82.7,82.0,81.0,79.9,81.5
10,UTA,80.4,81.7,90.0,79.9,80.8,81.0
11,DET,79.9,73.7,71.0,80.8,79.1,76.4
12,SAC,79.1,72.3,74.0,78.1,80.1,80.3
13,OKC,78.8,87.3,80.0,78.4,79.1,75.9
14,PHX,78.7,88.3,87.0,79.8,77.6,78.2
15,BOS,78.5,79.3,76.0,79.3,77.6,79.5
16,NYK,78.4,79.0,88.0,79.2,77.7,77.8
17,MIN,78.1,77.7,83.0,79.8,76.3,77.5
18,IND,78.0,80.0,83.0,78.6,77.5,79.8
19,WAS,77.9,72.0,69.0,78.2,77.7,76.4
20,CHA,77.8,72.3,72.0,77.9,77.7,72.1
21,MIL,77.2,68.7,71.0,78.4,76.0,78.0
22,NOP,77.2,74.7,80.0,77.7,76.6,78.1
23,LAL,77.0,74.3,68.0,78.2,75.6,79.4
24,POR,76.7,81.3,73.0,76.9,76.4,74.6
25,MIA,76.6,65.3,65.0,76.9,76.3,74.9
26,DAL,76.5,77.0,81.0,77.6,75.5,75.9
27,LAC,76.4,80.0,78.0,77.1,75.7,75.3
28,BKN,74.5,73.7,75.0,74.3,74.7,77.8
29,ORL,73.5,77.7,84.0,74.6,72.4,75.8
30,PHI,70.7,75.3,76.0,71.6,69.9,75.3
